'Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Event'
0.19,0.16,0.22,2.85,0.1,0.14,0.62,1.15,0.2,0.22,0.52,5,0.35,0.31,1.37,1.66,0.43,0.39,1.28,10.98,0.45,0.48,12.99,3.46,0.72,0.62,3.34,12.62,1.42,1.26,4.42,6,0.5,0.54,3.81,6.38,1.82,1.56,16.74,5.14,0
0.19,0.15,0.23,2.92,0.1,0.15,0.68,1.17,0.21,0.22,0.53,5.13,0.36,0.3,1.45,1.66,0.43,0.39,1.33,11.54,0.45,0.51,12.89,3.56,0.73,0.62,3.37,13.55,1.43,1.27,4.53,6.07,0.51,0.53,3.76,6.34,1.79,1.54,16.9,5.13,0
0.19,0.15,0.23,3.03,0.09,0.14,0.66,1.21,0.23,0.23,0.51,5.26,0.37,0.3,1.43,1.66,0.44,0.38,1.35,12,0.45,0.53,12.7,3.67,0.74,0.61,3.4,14.46,1.43,1.32,4.69,6.14,0.52,0.54,3.73,6.33,1.76,1.52,16.73,5.14,0
0.2,0.15,0.22,3.11,0.09,0.14,0.67,1.26,0.23,0.23,0.49,5.36,0.37,0.28,1.36,1.7,0.45,0.37,1.39,12.37,0.45,0.55,12.45,3.77,0.74,0.61,3.46,15.32,1.46,1.36,4.8,6.25,0.52,0.56,3.71,6.35,1.73,1.5,16.44,5.15,0
0.19,0.16,0.21,3.18,0.09,0.14,0.64,1.31,0.23,0.24,0.47,5.44,0.38,0.28,1.27,1.72,0.44,0.36,1.41,12.7,0.45,0.57,12.19,3.87,0.74,0.6,3.52,16.11,1.52,1.39,4.96,6.38,0.51,0.57,3.7,6.37,1.72,1.48,15.98,5.17,0
0.19,0.16,0.19,3.25,0.09,0.14,0.63,1.35,0.24,0.24,0.44,5.54,0.38,0.27,1.2,1.75,0.43,0.35,1.44,13.03,0.45,0.59,11.93,3.95,0.73,0.59,3.6,16.88,1.54,1.42,5.07,6.61,0.5,0.57,3.72,6.45,1.73,1.48,15.54,5.25,0
0.18,0.16,0.2,3.23,0.09,0.14,0.6,1.43,0.24,0.24,0.42,5.66,0.38,0.27,1.15,1.79,0.42,0.34,1.46,13.37,0.45,0.6,11.65,4.04,0.73,0.58,3.64,17.65,1.56,1.45,5.07,6.88,0.49,0.57,3.78,6.55,1.75,1.48,15.13,5.36,0
0.18,0.16,0.2,3.26,0.1,0.15,0.6,1.5,0.25,0.25,0.41,5.73,0.37,0.26,1.15,1.88,0.41,0.33,1.51,13.74,0.45,0.62,11.32,4.13,0.72,0.57,3.63,18.4,1.58,1.47,5.16,7.13,0.49,0.58,3.79,6.63,1.78,1.48,14.7,5.45,0
0.18,0.16,0.2,3.29,0.1,0.15,0.65,1.54,0.25,0.25,0.39,5.79,0.37,0.25,1.2,1.97,0.4,0.32,1.54,14.08,0.44,0.64,11.03,4.19,0.71,0.55,3.62,19.1,1.58,1.49,5.19,7.34,0.48,0.58,3.74,6.65,1.77,1.46,14.25,5.54,0
0.17,0.16,0.21,3.33,0.12,0.14,0.68,1.57,0.25,0.25,0.38,5.89,0.34,0.25,1.29,2.03,0.4,0.31,1.59,14.39,0.44,0.65,10.63,4.22,0.7,0.54,3.61,19.76,1.58,1.5,5.14,7.51,0.47,0.59,3.68,6.63,1.76,1.44,13.85,5.55,0
0.17,0.16,0.2,3.43,0.12,0.14,0.65,1.64,0.26,0.26,0.38,5.85,0.34,0.25,1.3,2.08,0.39,0.3,1.62,14.54,0.45,0.66,10.2,4.21,0.69,0.53,3.58,20.34,1.6,1.52,5.05,7.66,0.46,0.6,3.57,6.46,1.72,1.4,13.47,5.48,0
0.17,0.16,0.19,3.49,0.13,0.14,0.64,1.68,0.26,0.26,0.36,5.84,0.34,0.25,1.3,2.13,0.38,0.28,1.62,14.63,0.45,0.66,9.76,4.25,0.69,0.55,3.52,20.81,1.61,1.53,5.01,7.81,0.45,0.6,3.46,6.32,1.68,1.35,13.03,5.42,0
0.17,0.16,0.18,3.47,0.15,0.13,0.66,1.72,0.26,0.26,0.36,5.74,0.32,0.25,1.31,2.2,0.38,0.27,1.65,14.84,0.48,0.66,9.3,4.21,0.69,0.56,3.47,21.21,1.63,1.54,4.87,7.9,0.45,0.6,3.35,6.08,1.64,1.31,12.57,5.29,0
0.16,0.16,0.18,3.46,0.16,0.13,0.63,1.76,0.25,0.26,0.35,5.67,0.31,0.25,1.27,2.26,0.38,0.28,1.67,14.99,0.51,0.66,8.83,4.21,0.69,0.57,3.41,21.63,1.64,1.55,4.72,7.94,0.45,0.59,3.24,5.88,1.6,1.26,12.19,5.2,0
0.15,0.15,0.18,3.42,0.17,0.13,0.63,1.75,0.25,0.26,0.35,5.78,0.29,0.24,1.26,2.35,0.37,0.29,1.67,15.13,0.52,0.67,8.4,4.18,0.69,0.57,3.34,21.98,1.65,1.55,4.57,7.94,0.45,0.58,3.12,5.64,1.55,1.22,11.77,5.09,0
0.14,0.15,0.17,3.42,0.17,0.12,0.61,1.74,0.25,0.25,0.35,5.92,0.28,0.23,1.2,2.43,0.36,0.28,1.67,15.31,0.52,0.68,7.92,4.17,0.71,0.57,3.27,22.27,1.67,1.53,4.41,7.94,0.45,0.57,2.98,5.4,1.49,1.17,11.31,4.97,0
0.14,0.14,0.16,3.44,0.18,0.11,0.57,1.74,0.25,0.24,0.35,6.07,0.28,0.21,1.13,2.53,0.35,0.28,1.67,15.45,0.54,0.7,7.42,4.16,0.72,0.55,3.22,22.56,1.68,1.51,4.18,7.92,0.45,0.57,2.85,5.18,1.43,1.12,10.79,5.18,0
0.14,0.14,0.17,3.4,0.18,0.11,0.54,1.73,0.26,0.22,0.35,6.19,0.28,0.2,1.08,2.59,0.35,0.27,1.66,15.66,0.55,0.72,6.94,4.13,0.73,0.53,3.18,22.87,1.68,1.5,3.98,7.96,0.45,0.56,2.72,5.37,1.36,1.06,10.24,5.35,0
0.13,0.14,0.17,3.39,0.18,0.1,0.5,1.77,0.26,0.22,0.33,6.35,0.28,0.19,1.01,2.65,0.35,0.27,1.68,15.9,0.56,0.73,6.51,4.13,0.73,0.51,3.14,23.04,1.69,1.49,3.78,8.06,0.44,0.54,2.82,5.53,1.33,1.02,9.7,5.48,0
0.13,0.13,0.18,3.3,0.18,0.1,0.47,1.68,0.26,0.22,0.33,6.57,0.28,0.19,0.96,2.57,0.35,0.26,1.67,16.06,0.57,0.74,6.11,3.94,0.74,0.52,3.24,23.09,1.71,1.48,3.6,8.28,0.43,0.53,2.91,5.74,1.36,0.97,9.18,5.62,0
0.14,0.12,0.18,3.48,0.18,0.1,0.44,1.59,0.26,0.21,0.33,6.77,0.28,0.18,0.9,2.55,0.34,0.25,1.67,16.07,0.57,0.75,5.74,3.89,0.74,0.52,3.32,22.9,1.73,1.48,3.44,8.52,0.41,0.52,2.99,5.93,1.39,0.91,8.7,5.73,0
0.14,0.12,0.19,3.55,0.18,0.09,0.43,1.51,0.25,0.2,0.32,6.39,0.27,0.18,0.88,2.54,0.33,0.24,1.62,15.53,0.57,0.74,5.41,3.89,0.73,0.52,3.39,22.13,1.76,1.48,3.28,8.71,0.4,0.52,3.07,5.97,1.41,0.89,8.17,5.8,0
0.13,0.12,0.2,3.35,0.19,0.09,0.42,1.48,0.24,0.19,0.36,6.16,0.26,0.17,0.86,2.53,0.33,0.25,1.52,14.69,0.56,0.73,5.07,3.84,0.72,0.53,3.39,21.07,1.76,1.47,3.09,8.85,0.39,0.52,3.19,6.07,1.43,0.86,7.7,5.87,0
0.13,0.11,0.21,3.25,0.18,0.09,0.39,1.45,0.23,0.18,0.38,6.02,0.26,0.17,0.81,2.57,0.34,0.26,1.47,13.82,0.53,0.73,4.73,3.73,0.71,0.55,3.34,19.97,1.77,1.44,2.92,8.91,0.39,0.52,3.29,6.23,1.47,0.85,7.26,5.95,0
0.13,0.1,0.22,3.12,0.18,0.09,0.37,1.42,0.21,0.17,0.4,5.85,0.26,0.17,0.77,2.57,0.34,0.27,1.44,13.05,0.52,0.74,4.4,3.67,0.69,0.57,3.25,18.98,1.79,1.4,2.74,8.89,0.39,0.52,3.39,6.41,1.5,0.83,6.95,6.03,0
0.13,0.1,0.26,3.09,0.19,0.09,0.35,1.36,0.2,0.17,0.46,5.82,0.27,0.16,0.71,2.67,0.34,0.28,1.39,12.14,0.54,0.74,4.08,3.61,0.68,0.57,3.26,18.08,1.8,1.35,2.55,8.76,0.39,0.53,3.42,6.51,1.5,0.82,6.64,6.02,0
0.12,0.1,0.25,2.9,0.18,0.09,0.33,1.29,0.19,0.17,0.45,5.61,0.27,0.16,0.66,2.67,0.35,0.29,1.32,11.38,0.52,0.73,3.79,3.46,0.66,0.57,3.28,17.08,1.76,1.32,2.38,8.65,0.39,0.54,3.46,6.62,1.5,0.79,6.33,6.03,0
0.12,0.1,0.26,2.77,0.18,0.09,0.3,1.24,0.18,0.17,0.44,5.4,0.27,0.16,0.62,2.66,0.35,0.3,1.26,10.7,0.54,0.72,3.51,3.31,0.64,0.59,3.32,16.14,1.73,1.3,2.22,8.57,0.39,0.54,3.48,6.66,1.5,0.79,6.04,5.98,0
0.12,0.09,0.24,2.62,0.17,0.09,0.28,1.23,0.18,0.16,0.44,5.25,0.27,0.17,0.57,2.61,0.35,0.31,1.23,10.16,0.56,0.7,3.26,3.23,0.62,0.62,3.38,15.29,1.69,1.29,2.07,8.54,0.4,0.56,3.5,6.67,1.48,0.79,5.74,5.92,0
0.11,0.09,0.24,2.48,0.17,0.09,0.27,1.15,0.17,0.16,0.46,5.14,0.27,0.18,0.53,2.66,0.35,0.32,1.21,9.71,0.57,0.68,3.03,3.25,0.6,0.64,3.41,14.55,1.71,1.28,1.93,8.54,0.4,0.58,3.52,6.66,1.47,0.8,5.43,5.85,0
0.1,0.09,0.24,2.38,0.17,0.09,0.25,1.09,0.16,0.16,0.49,5.16,0.26,0.18,0.5,2.7,0.35,0.32,1.21,9.36,0.57,0.65,2.83,3.27,0.58,0.65,3.43,13.95,1.72,1.26,1.8,8.55,0.41,0.58,3.52,6.69,1.45,0.8,5.13,5.81,0
0.1,0.08,0.23,2.25,0.17,0.09,0.29,1.02,0.15,0.15,0.49,5.09,0.25,0.18,0.52,2.73,0.36,0.32,1.26,9.08,0.6,0.61,2.69,3.21,0.57,0.65,3.5,13.48,1.72,1.23,1.73,8.49,0.42,0.59,3.52,6.69,1.42,0.79,4.81,5.76,0
0.1,0.08,0.23,2.16,0.16,0.09,0.3,1.03,0.15,0.15,0.49,5.06,0.26,0.18,0.55,2.7,0.36,0.33,1.31,8.77,0.62,0.57,2.58,3.2,0.56,0.65,3.59,13.03,1.71,1.2,1.68,8.41,0.41,0.6,3.52,6.74,1.41,0.79,4.61,5.74,0
0.1,0.08,0.27,2.06,0.18,0.08,0.32,1,0.16,0.14,0.49,5.02,0.28,0.19,0.59,2.69,0.36,0.33,1.41,8.49,0.66,0.54,2.51,3.24,0.55,0.65,3.65,12.63,1.68,1.17,1.65,8.35,0.41,0.6,3.55,6.8,1.41,0.8,4.5,5.72,0
0.1,0.08,0.28,1.98,0.2,0.08,0.3,0.94,0.16,0.15,0.52,4.97,0.29,0.2,0.63,2.72,0.36,0.34,1.51,8.18,0.73,0.55,2.51,3.32,0.54,0.64,3.71,12.25,1.67,1.15,1.7,8.24,0.4,0.6,3.58,6.84,1.4,0.81,4.49,5.68,0
0.1,0.08,0.36,1.97,0.21,0.08,0.29,0.96,0.16,0.15,0.62,4.91,0.33,0.2,0.66,2.66,0.37,0.35,1.66,7.84,0.79,0.57,2.52,3.32,0.53,0.64,3.72,11.92,1.65,1.17,1.75,8.08,0.42,0.6,3.58,6.81,1.36,0.82,4.73,5.56,0
0.1,0.09,0.38,1.9,0.21,0.08,0.46,0.97,0.16,0.15,0.76,4.79,0.35,0.2,0.71,2.61,0.37,0.35,1.84,7.49,0.88,0.59,2.65,3.32,0.51,0.63,3.75,11.61,1.64,1.2,1.83,7.91,0.44,0.59,3.57,6.75,1.33,0.83,5.43,5.42,0
0.1,0.09,0.46,1.93,0.22,0.08,0.57,1.04,0.16,0.16,0.95,4.79,0.36,0.2,0.92,2.54,0.37,0.36,1.95,7.19,0.97,0.61,2.69,3.38,0.5,0.62,3.74,11.37,1.63,1.21,2.23,7.76,0.45,0.59,3.52,6.64,1.28,0.86,6.57,5.25,0
0.1,0.1,0.54,2,0.23,0.09,0.68,1.19,0.17,0.17,1.11,4.71,0.36,0.19,1.08,2.48,0.36,0.38,2.08,6.93,1.05,0.63,2.68,3.38,0.5,0.63,3.73,11.08,1.61,1.24,2.65,7.63,0.47,0.58,3.5,6.59,1.25,0.89,7.64,5.17,0
0.11,0.1,0.58,2.08,0.24,0.1,0.8,1.28,0.16,0.18,1.32,4.72,0.36,0.21,1.37,2.51,0.37,0.39,2.17,6.58,1.13,0.65,2.74,3.42,0.51,0.64,3.69,10.8,1.61,1.26,3.05,7.55,0.48,0.57,3.48,6.58,1.23,0.91,8.1,5.12,0
0.11,0.1,0.65,2.26,0.27,0.11,0.92,1.4,0.16,0.18,1.49,4.64,0.37,0.22,1.56,2.58,0.37,0.4,2.24,6.38,1.2,0.67,2.86,3.47,0.51,0.67,3.62,10.63,1.61,1.27,3.32,7.52,0.49,0.56,3.46,6.57,1.23,0.93,9.11,5.08,0
0.11,0.1,0.7,2.52,0.29,0.13,1.01,1.55,0.16,0.19,1.67,4.49,0.36,0.23,1.76,2.68,0.37,0.41,2.33,6.38,1.26,0.69,3.04,3.56,0.52,0.69,3.54,10.5,1.61,1.28,3.64,7.48,0.5,0.55,3.44,6.52,1.26,0.95,10.41,5.02,0
0.11,0.11,0.77,2.74,0.3,0.13,1.05,1.69,0.17,0.19,1.84,4.36,0.36,0.25,1.95,2.77,0.37,0.41,2.43,6.35,1.31,0.71,3.19,3.64,0.52,0.72,3.45,10.42,1.62,1.29,3.93,7.46,0.52,0.55,3.43,6.49,1.28,0.97,12.09,5.08,0
0.11,0.11,0.82,2.94,0.3,0.14,1.12,1.79,0.18,0.2,1.96,4.17,0.35,0.27,2.15,2.85,0.37,0.42,2.52,6.4,1.36,0.72,3.27,3.71,0.52,0.74,3.36,10.26,1.61,1.3,4.15,7.46,0.52,0.55,3.4,6.43,1.29,0.98,13.92,5.3,0
0.11,0.11,0.87,3.17,0.32,0.15,1.19,1.9,0.18,0.2,2.07,4.02,0.35,0.29,2.32,2.96,0.36,0.41,2.61,6.4,1.39,0.71,3.3,3.78,0.52,0.75,3.27,10.17,1.59,1.29,4.3,7.46,0.53,0.54,3.38,6.38,1.29,0.99,15.57,5.46,0
0.11,0.11,0.92,3.4,0.33,0.16,1.2,2,0.19,0.21,2.17,3.89,0.36,0.31,2.4,3.05,0.36,0.41,2.72,6.49,1.42,0.71,3.26,3.81,0.51,0.76,3.13,10.08,1.6,1.27,4.54,7.39,0.53,0.53,3.35,6.31,1.3,1.01,17.06,5.56,0
0.11,0.12,0.94,3.54,0.33,0.17,1.26,2.06,0.2,0.21,2.27,3.78,0.38,0.32,2.47,3.12,0.37,0.41,2.82,6.48,1.44,0.71,3.4,3.88,0.51,0.76,3.17,9.91,1.64,1.25,4.91,7.31,0.53,0.52,3.34,6.28,1.31,1.05,18.48,5.64,0
0.11,0.12,0.97,3.7,0.34,0.17,1.29,2.08,0.21,0.22,2.35,3.71,0.39,0.33,2.6,3.24,0.37,0.41,2.92,6.41,1.46,0.71,3.61,3.9,0.52,0.75,3.27,9.69,1.68,1.24,5.21,7.16,0.53,0.51,3.31,6.26,1.32,1.07,19.73,5.64,0
0.12,0.12,1,3.86,0.34,0.18,1.33,2.09,0.22,0.22,2.41,3.87,0.39,0.33,2.76,3.34,0.37,0.41,3.01,6.34,1.48,0.7,3.79,3.86,0.54,0.75,3.35,9.59,1.71,1.21,5.52,6.94,0.52,0.5,3.28,6.23,1.32,1.1,20.86,5.64,0
0.12,0.12,1.03,3.99,0.35,0.2,1.33,2.08,0.22,0.22,2.51,4.03,0.4,0.32,2.83,3.38,0.37,0.4,3.1,6.33,1.5,0.7,4.03,3.76,0.56,0.75,3.42,9.5,1.75,1.2,5.86,6.73,0.52,0.49,3.22,6.18,1.32,1.11,21.95,5.6,0
0.12,0.12,1.06,4.16,0.35,0.2,1.37,2.05,0.22,0.23,2.58,4.22,0.41,0.32,2.93,3.45,0.37,0.39,3.15,6.36,1.52,0.69,4.3,3.64,0.57,0.75,3.49,9.39,1.79,1.19,6.21,6.73,0.51,0.48,3.14,6.07,1.29,1.12,22.99,5.56,0
0.12,0.12,1.09,4.28,0.36,0.21,1.4,2.04,0.22,0.23,2.62,4.36,0.42,0.32,3.05,3.49,0.37,0.39,3.18,6.34,1.53,0.68,4.58,3.56,0.58,0.75,3.51,9.19,1.82,1.17,6.52,6.72,0.5,0.48,3.06,5.95,1.3,1.12,23.86,5.5,0
0.12,0.13,1.11,4.39,0.36,0.22,1.41,2.01,0.22,0.23,2.67,4.53,0.42,0.32,3.15,3.55,0.38,0.38,3.21,6.34,1.53,0.67,4.87,3.6,0.59,0.75,3.53,9.17,1.83,1.14,6.78,6.63,0.49,0.46,2.95,5.79,1.31,1.11,24.58,5.42,0
0.12,0.12,1.14,4.46,0.36,0.22,1.42,1.99,0.22,0.23,2.7,4.68,0.43,0.31,3.2,3.59,0.38,0.38,3.24,6.41,1.56,0.67,5.18,3.74,0.59,0.75,3.53,9.17,1.82,1.12,6.99,6.55,0.48,0.45,2.84,5.6,1.3,1.1,25.29,5.32,0
0.12,0.13,1.17,4.54,0.36,0.23,1.43,1.97,0.23,0.24,2.79,4.8,0.43,0.31,3.24,3.64,0.39,0.37,3.35,6.47,1.58,0.68,5.47,3.85,0.59,0.74,3.44,9.15,1.81,1.1,7.2,6.48,0.47,0.45,2.79,5.51,1.28,1.08,25.91,5.16,0
0.13,0.13,1.2,4.66,0.37,0.23,1.49,2,0.23,0.24,2.88,4.9,0.44,0.32,3.33,3.63,0.4,0.36,3.45,6.5,1.59,0.69,5.78,3.94,0.59,0.75,3.37,9.15,1.81,1.08,7.4,6.4,0.46,0.45,2.76,5.46,1.24,1.04,26.44,4.94,0
0.13,0.13,1.22,4.77,0.37,0.24,1.49,2.04,0.23,0.24,2.97,5.01,0.44,0.32,3.37,3.62,0.41,0.36,3.55,6.54,1.6,0.69,6.1,4.03,0.59,0.76,3.32,9.08,1.81,1.05,7.6,6.31,0.45,0.44,2.75,5.41,1.22,1.03,26.94,4.78,0
0.13,0.14,1.23,4.86,0.37,0.24,1.5,2.04,0.24,0.25,3.05,5,0.44,0.32,3.39,3.63,0.42,0.37,3.6,6.48,1.61,0.69,6.43,4.07,0.59,0.76,3.29,8.96,1.82,1.03,7.75,6.2,0.44,0.44,2.73,5.34,1.2,1.01,27.63,4.59,0
0.13,0.14,1.24,4.87,0.36,0.24,1.52,2.04,0.24,0.25,3.12,4.96,0.45,0.33,3.44,3.64,0.43,0.38,3.65,6.41,1.61,0.68,6.77,4.12,0.59,0.77,3.3,8.82,1.83,0.99,7.86,6.04,0.42,0.44,2.66,5.13,1.16,0.97,28.32,4.37,0
0.13,0.14,1.28,4.91,0.36,0.24,1.54,2.07,0.24,0.24,3.15,4.97,0.46,0.32,3.49,3.61,0.43,0.39,3.67,6.31,1.62,0.67,7.07,4.17,0.6,0.78,3.31,8.64,1.82,0.94,7.96,5.87,0.41,0.43,2.6,4.99,1.12,0.98,28.96,4.32,0
0.12,0.14,1.29,4.9,0.37,0.25,1.56,2.1,0.23,0.24,3.2,4.92,0.48,0.33,3.49,3.61,0.44,0.4,3.67,6.27,1.62,0.67,7.33,4.26,0.59,0.77,3.28,8.43,1.82,0.92,8.12,5.69,0.41,0.43,2.52,4.82,1.1,1,29.38,4.24,0
0.12,0.13,1.33,4.87,0.37,0.24,1.61,2.11,0.22,0.23,3.27,4.9,0.47,0.33,3.47,3.59,0.44,0.41,3.64,6.21,1.6,0.66,7.6,4.3,0.59,0.77,3.19,8.3,1.81,0.92,8.26,5.63,0.41,0.42,2.42,4.61,1.08,1.02,29.66,4.12,0
0.11,0.13,1.36,4.86,0.35,0.24,1.63,2.12,0.21,0.22,3.31,4.85,0.46,0.34,3.42,3.54,0.44,0.42,3.57,6.2,1.55,0.66,7.82,4.37,0.59,0.77,3.15,8.3,1.79,0.93,8.35,5.54,0.41,0.41,2.35,4.45,1.06,1.04,29.86,4.12,0
0.11,0.12,1.43,4.79,0.33,0.24,1.65,2.1,0.21,0.21,3.29,4.94,0.47,0.34,3.41,3.5,0.44,0.42,3.45,6.18,1.52,0.66,7.98,4.44,0.58,0.76,3.12,8.18,1.77,0.93,8.47,5.6,0.4,0.39,2.26,4.46,1.07,1.04,29.89,4.12,0
0.1,0.11,1.45,4.74,0.33,0.23,1.82,2.13,0.2,0.2,3.25,5.07,0.49,0.35,3.47,3.51,0.43,0.43,3.32,6.1,1.46,0.66,7.94,4.46,0.56,0.74,3.12,8.01,1.74,0.92,8.36,5.6,0.39,0.38,2.15,4.39,1.07,1.03,29.98,4.05,0
0.1,0.11,1.41,4.65,0.32,0.23,1.79,2.1,0.2,0.2,3.14,5.12,0.49,0.34,3.26,3.52,0.43,0.43,3.26,5.98,1.39,0.66,7.96,4.42,0.55,0.73,3.11,7.86,1.74,0.9,8.14,5.65,0.39,0.38,2.01,4.25,1.05,1,30.09,3.91,0
0.09,0.11,1.38,4.58,0.31,0.23,1.72,2.04,0.19,0.19,3,5.04,0.48,0.34,3.11,3.46,0.43,0.43,3.24,5.76,1.33,0.65,8.09,4.36,0.52,0.7,3.14,7.81,1.77,0.89,7.83,5.68,0.38,0.38,1.98,4.1,1.03,0.98,30.07,3.74,0
0.08,0.1,1.31,4.43,0.3,0.22,1.6,1.98,0.19,0.18,2.86,4.97,0.48,0.32,2.91,3.44,0.43,0.43,3.25,5.48,1.27,0.62,8.06,4.25,0.5,0.69,3.15,7.71,1.79,0.86,7.41,5.61,0.37,0.39,1.98,3.95,0.99,0.96,29.65,3.55,0
0.08,0.09,1.23,4.29,0.29,0.21,1.52,1.94,0.19,0.17,2.73,4.89,0.48,0.31,2.75,3.42,0.42,0.43,3.24,5.24,1.22,0.6,8.01,4.14,0.48,0.69,3.15,7.59,1.82,0.87,6.95,5.51,0.37,0.4,1.98,3.93,0.96,0.94,28.69,3.38,0
0.08,0.09,1.15,4.09,0.27,0.19,1.47,1.84,0.18,0.16,2.59,4.7,0.47,0.3,2.65,3.31,0.4,0.42,3.24,5.04,1.17,0.58,8.01,3.98,0.46,0.69,3.21,7.5,1.85,0.87,6.62,5.41,0.38,0.41,2.01,3.9,0.95,0.92,27.4,3.28,0
0.08,0.09,1.09,3.91,0.25,0.18,1.4,1.73,0.18,0.16,2.48,4.52,0.45,0.28,2.51,3.19,0.4,0.41,3.22,4.83,1.13,0.56,8.03,3.82,0.45,0.68,3.23,7.44,1.88,0.86,6.21,5.31,0.38,0.4,2.03,3.81,0.93,0.91,25.92,3.22,0
0.08,0.09,1.02,3.71,0.24,0.17,1.33,1.64,0.18,0.15,2.35,4.31,0.44,0.27,2.39,3.09,0.4,0.4,3.2,4.61,1.08,0.54,8.01,3.7,0.45,0.67,3.27,7.39,1.92,0.85,5.91,5.15,0.38,0.41,2.1,3.83,0.91,0.88,24.39,3.25,0
0.08,0.08,1.01,3.52,0.24,0.17,1.27,1.57,0.17,0.14,2.25,4.14,0.44,0.27,2.25,2.95,0.41,0.38,3.15,4.48,1.03,0.54,7.95,3.68,0.45,0.67,3.3,7.29,1.94,0.85,5.68,5.07,0.38,0.42,2.18,3.87,0.95,0.85,22.98,3.32,0
0.09,0.08,1.71,3.84,0.49,0.31,1.22,1.9,0.18,0.13,2.9,4.4,0.67,0.4,2.14,3.22,0.43,0.36,3.82,4.99,1.23,0.67,7.83,4.11,0.47,0.66,4.3,8.01,1.98,1.05,5.37,6.01,0.46,0.42,6.65,6.98,2.37,1.57,21.58,5.44,0
0.09,0.09,2.01,3.89,0.56,0.34,1.13,1.99,0.17,0.14,3.02,4.34,0.69,0.4,2.03,3.11,0.47,0.37,4.13,5.06,1.32,0.67,7.68,3.85,0.53,0.66,6.5,9.76,2.45,1.32,5.06,6.74,0.52,0.46,14.32,12.83,4.74,2.48,20.3,9.17,0
0.09,0.08,1.97,3.69,0.54,0.33,1.08,1.92,0.17,0.14,2.81,4.11,0.67,0.4,1.95,2.95,0.5,0.4,4.58,5.67,1.41,0.7,7.54,3.89,0.59,0.71,8.13,11.06,2.76,1.62,4.79,7.79,0.63,0.54,23.09,19.49,7.59,3.97,19.13,13.7,0
0.09,0.08,1.88,3.45,0.53,0.33,1.02,1.8,0.17,0.15,2.72,3.91,0.65,0.39,1.85,2.87,0.52,0.42,4.91,6.03,1.52,0.78,7.36,3.9,0.64,0.76,10.01,12.49,3.1,1.92,4.56,8.96,0.85,0.62,32.85,27.75,10.83,5.68,18.06,19.3,0
0.09,0.08,1.82,3.31,0.52,0.33,0.96,1.75,0.17,0.16,2.61,3.66,0.61,0.39,1.74,2.76,0.55,0.45,5.16,6.39,1.59,0.85,7.16,3.96,0.69,0.8,11.93,13.82,3.39,2.18,4.34,10.03,1.08,0.69,42.23,35.74,13.93,7.32,16.96,24.82,0
0.09,0.09,1.72,3.16,0.5,0.32,0.9,1.66,0.17,0.18,2.62,3.53,0.58,0.38,1.65,2.73,0.56,0.46,5.47,6.81,1.67,0.92,6.93,4.24,0.73,0.83,13.73,15.04,3.66,2.42,4.12,10.99,1.3,0.79,50.94,43.15,16.8,8.83,15.97,29.95,0
0.08,0.09,1.71,2.96,0.49,0.31,0.84,1.59,0.18,0.19,2.74,3.43,0.61,0.4,1.56,2.7,0.58,0.48,5.85,7.25,1.77,0.99,6.68,4.53,0.78,0.86,15.47,16.41,4.08,2.64,3.9,11.94,1.51,0.93,59.07,50.12,19.46,10.24,15,34.75,0
0.08,0.09,1.73,2.87,0.5,0.3,0.82,1.58,0.18,0.21,2.73,3.49,0.63,0.43,1.51,2.76,0.6,0.49,5.96,7.47,1.78,1.01,6.4,4.68,0.82,0.89,17.2,17.62,4.5,2.86,3.64,12.69,1.71,1.06,66.92,56.82,22.05,11.61,13.99,39.36,0
0.09,0.09,1.64,2.69,0.47,0.29,0.77,1.5,0.18,0.23,2.7,3.43,0.64,0.43,1.45,2.73,0.61,0.51,6.27,7.86,1.82,1.06,6.11,4.96,0.88,0.91,18.79,18.85,4.83,3.06,3.41,13.51,1.91,1.18,75.1,63.69,24.74,13.02,13.07,44.11,0
0.09,0.09,1.62,2.59,0.5,0.3,0.76,1.49,0.18,0.24,2.75,3.35,0.67,0.45,1.42,2.68,0.63,0.52,6.54,8.13,1.89,1.11,5.86,5.17,0.92,0.93,20.27,20.09,5.11,3.26,3.18,14.23,2.13,1.29,83.91,71.01,27.59,14.53,12.19,49.18,0
0.09,0.09,1.72,2.6,0.52,0.3,0.72,1.55,0.18,0.25,2.77,3.4,0.68,0.47,1.38,2.73,0.63,0.54,6.92,8.51,1.98,1.17,5.56,5.45,0.96,0.94,21.56,21.16,5.42,3.42,3.02,15.06,2.36,1.44,92.74,78.77,30.58,16.1,11.33,54.53,0
0.09,0.09,1.7,2.49,0.49,0.29,0.68,1.51,0.19,0.26,2.83,3.3,0.65,0.47,1.32,2.67,0.64,0.55,7,8.57,2,1.2,5.25,5.52,0.99,0.96,22.66,22.12,5.65,3.56,2.88,15.65,2.59,1.58,102.19,86.81,33.72,17.75,10.5,60.08,0
