'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'[11:43:50.263 11/09/2023]',0.08,0.06,1.65,0.00,0.39,0.48,1.21,1.34,0.15,0.13,2.21,0.00,0.50,0.61,1.84,2.75,0.26,0.24,4.19,0.00,0.91,1.30,3.41,3.75,0.76,0.65,12.09,0.00,2.94,3.74,10.07,11.50,2.40,1.07,82.87,0.00,17.06,21.38,56.00,58.21,0
'[11:43:50.288 11/09/2023]',0.09,0.06,1.56,0.00,0.37,0.45,1.15,1.37,0.16,0.14,2.24,0.00,0.51,0.62,1.89,2.93,0.27,0.25,4.50,0.00,0.92,1.35,3.55,4.02,0.81,0.66,13.35,0.00,3.14,4.07,10.75,12.43,2.47,1.11,85.49,0.00,17.56,22.05,57.81,60.13,0
'[11:43:50.315 11/09/2023]',0.09,0.06,1.50,0.00,0.36,0.43,1.11,1.40,0.16,0.14,2.29,0.00,0.52,0.63,1.97,3.13,0.28,0.25,4.76,0.00,0.94,1.40,3.64,4.25,0.85,0.66,14.48,0.00,3.33,4.38,11.27,13.20,2.54,1.14,87.96,0.00,18.02,22.67,59.50,61.91,0
'[11:43:50.346 11/09/2023]',0.09,0.07,1.47,0.00,0.34,0.42,1.08,1.39,0.17,0.15,2.28,0.00,0.51,0.62,2.03,3.28,0.30,0.25,4.93,0.00,0.93,1.42,3.73,4.52,0.88,0.67,15.59,0.00,3.51,4.67,11.98,13.85,2.62,1.17,90.52,0.00,18.51,23.32,61.26,63.75,0
'[11:43:50.377 11/09/2023]',0.09,0.07,1.44,0.00,0.32,0.40,1.03,1.39,0.17,0.15,2.33,0.00,0.52,0.62,2.15,3.53,0.31,0.26,5.23,0.00,0.94,1.48,3.71,4.78,0.91,0.68,16.59,0.00,3.66,4.91,12.68,14.46,2.70,1.20,93.46,0.00,19.09,24.07,63.27,65.84,0
'[11:43:50.404 11/09/2023]',0.09,0.07,1.41,0.00,0.32,0.41,1.06,1.47,0.18,0.15,2.34,0.00,0.50,0.60,2.18,3.63,0.33,0.28,5.45,0.00,0.95,1.53,3.78,5.07,0.95,0.68,17.49,0.00,3.77,5.12,13.29,15.19,2.81,1.24,97.03,0.00,19.80,24.99,65.68,68.36,0
'[11:43:50.430 11/09/2023]',0.09,0.07,1.45,0.00,0.33,0.42,1.07,1.49,0.18,0.16,2.38,0.00,0.52,0.60,2.27,3.83,0.33,0.30,5.73,0.00,0.98,1.58,3.87,5.24,0.97,0.68,18.31,0.00,3.91,5.33,13.98,16.03,2.93,1.29,101.28,0.00,20.63,26.08,68.58,71.38,0
'[11:43:50.458 11/09/2023]',0.10,0.07,1.44,0.00,0.32,0.41,1.06,1.51,0.18,0.16,2.51,0.00,0.51,0.62,2.38,4.00,0.34,0.31,5.81,0.00,0.99,1.60,3.91,5.41,0.99,0.69,19.10,0.00,4.03,5.54,14.61,16.83,3.06,1.35,105.96,0.00,21.56,27.27,71.75,74.68,0
'[11:43:50.484 11/09/2023]',0.10,0.07,1.39,0.00,0.33,0.39,1.03,1.56,0.18,0.16,2.57,0.00,0.51,0.62,2.43,4.11,0.36,0.33,5.96,0.00,0.99,1.63,3.98,5.63,1.01,0.70,19.91,0.00,4.10,5.67,15.03,17.43,3.21,1.41,111.01,0.00,22.57,28.57,75.18,78.26,0
'[11:43:50.512 11/09/2023]',0.10,0.07,1.43,0.00,0.33,0.40,1.05,1.63,0.18,0.17,2.69,0.00,0.53,0.65,2.53,4.26,0.37,0.34,6.13,0.00,1.02,1.68,4.08,5.92,1.04,0.71,20.65,0.00,4.16,5.78,15.39,18.11,3.37,1.47,116.25,0.00,23.61,29.91,78.73,81.98,0
'[11:43:50.541 11/09/2023]',0.10,0.07,1.44,0.00,0.33,0.40,1.07,1.68,0.18,0.17,2.77,0.00,0.55,0.67,2.59,4.35,0.38,0.36,6.31,0.00,1.05,1.72,4.20,6.13,1.08,0.73,21.28,0.00,4.23,5.89,15.79,18.69,3.51,1.55,121.39,0.00,24.63,31.22,82.24,85.64,0
'[11:43:50.568 11/09/2023]',0.10,0.08,1.39,0.00,0.33,0.39,1.04,1.73,0.18,0.18,2.79,0.00,0.57,0.68,2.63,4.45,0.40,0.37,6.42,0.00,1.09,1.77,4.28,6.36,1.11,0.74,21.83,0.00,4.28,5.98,16.15,19.18,3.66,1.61,126.24,0.00,25.60,32.46,85.53,89.09,0
'[11:43:50.593 11/09/2023]',0.11,0.08,1.37,0.00,0.33,0.38,1.04,1.81,0.18,0.18,2.85,0.00,0.58,0.70,2.70,4.54,0.42,0.37,6.48,0.00,1.11,1.78,4.35,6.54,1.13,0.75,22.37,0.00,4.32,6.04,16.43,19.67,3.79,1.68,130.71,0.00,26.48,33.60,88.54,92.25,0
'[11:43:50.627 11/09/2023]',0.11,0.08,1.37,0.00,0.33,0.38,1.05,1.89,0.18,0.18,2.81,0.00,0.59,0.69,2.68,4.56,0.43,0.38,6.63,0.00,1.14,1.83,4.49,6.84,1.16,0.76,22.94,0.00,4.37,6.12,16.82,19.96,3.91,1.74,134.76,0.00,27.28,34.64,91.29,95.12,0
'[11:43:50.670 11/09/2023]',0.11,0.09,1.32,0.00,0.31,0.36,1.04,1.91,0.18,0.17,2.81,0.00,0.60,0.69,2.69,4.65,0.44,0.38,6.74,0.00,1.16,1.86,4.62,7.03,1.19,0.78,23.49,0.00,4.42,6.21,17.26,20.27,4.02,1.80,138.31,0.00,27.97,35.54,93.69,97.64,0
'[11:43:50.777 11/09/2023]',0.10,0.09,1.27,0.00,0.30,0.34,1.01,1.92,0.19,0.18,2.81,0.00,0.61,0.69,2.71,4.71,0.46,0.38,6.86,0.00,1.17,1.88,4.74,7.22,1.21,0.79,23.98,0.00,4.46,6.30,17.68,20.54,4.11,1.85,141.42,0.00,28.58,36.33,95.81,99.86,0
'[11:43:50.874 11/09/2023]',0.10,0.09,1.22,0.00,0.29,0.33,1.00,1.99,0.19,0.18,2.79,0.00,0.62,0.68,2.71,4.78,0.46,0.38,6.92,0.00,1.18,1.90,4.80,7.33,1.23,0.80,24.42,0.00,4.49,6.38,18.07,20.78,4.19,1.89,144.16,0.00,29.12,37.02,97.68,101.80,0
'[11:43:50.968 11/09/2023]',0.10,0.09,1.18,0.00,0.28,0.31,0.96,1.96,0.20,0.19,2.78,0.00,0.63,0.68,2.67,4.76,0.47,0.38,7.01,0.00,1.19,1.91,4.87,7.38,1.24,0.80,24.85,0.00,4.52,6.51,18.41,20.95,4.26,1.92,146.58,0.00,29.59,37.64,99.31,103.51,0
'[11:43:51.055 11/09/2023]',0.10,0.09,1.13,0.00,0.27,0.29,0.92,1.94,0.21,0.20,2.76,0.00,0.64,0.67,2.67,4.78,0.48,0.38,7.09,0.00,1.20,1.94,4.98,7.50,1.26,0.81,25.27,0.00,4.54,6.65,18.80,21.24,4.32,1.96,148.74,0.00,30.02,38.18,100.76,105.02,0
'[11:43:51.137 11/09/2023]',0.10,0.09,1.10,0.00,0.26,0.28,0.90,1.95,0.21,0.21,2.78,0.00,0.66,0.68,2.69,4.80,0.49,0.38,7.16,0.00,1.21,1.96,5.08,7.56,1.28,0.82,25.69,0.00,4.56,6.79,19.21,21.70,4.38,1.98,150.68,0.00,30.39,38.67,102.05,106.37,0
'[11:43:51.221 11/09/2023]',0.10,0.09,1.08,0.00,0.25,0.27,0.90,1.95,0.22,0.21,2.79,0.00,0.67,0.68,2.69,4.82,0.50,0.38,7.25,0.00,1.22,1.99,5.23,7.64,1.28,0.83,26.06,0.00,4.57,6.91,19.56,22.11,4.43,2.01,152.47,0.00,30.74,39.13,103.27,107.62,0
'[11:43:51.302 11/09/2023]',0.10,0.09,1.05,0.00,0.25,0.27,0.89,1.94,0.22,0.22,2.80,0.00,0.67,0.68,2.70,4.83,0.51,0.37,7.33,0.00,1.24,2.01,5.35,7.71,1.28,0.84,26.42,0.00,4.57,7.01,19.86,22.47,4.48,2.03,154.10,0.00,31.06,39.54,104.35,108.75,0
'[11:43:51.387 11/09/2023]',0.11,0.09,1.02,0.00,0.24,0.25,0.88,1.97,0.22,0.23,2.80,0.00,0.67,0.68,2.67,4.80,0.51,0.37,7.43,0.00,1.26,2.04,5.52,7.83,1.28,0.86,26.70,0.00,4.57,7.09,20.06,22.74,4.52,2.05,155.62,0.00,31.36,39.92,105.37,109.81,0
'[11:43:51.475 11/09/2023]',0.11,0.09,1.01,0.00,0.24,0.25,0.89,1.98,0.22,0.23,2.82,0.00,0.68,0.68,2.67,4.78,0.53,0.37,7.49,0.00,1.27,2.05,5.66,7.96,1.27,0.87,26.96,0.00,4.57,7.16,20.27,23.02,4.56,2.07,157.01,0.00,31.62,40.27,106.30,110.79,0
'[11:43:51.560 11/09/2023]',0.14,0.09,2.03,0.00,0.35,0.48,1.59,2.93,0.25,0.24,3.74,0.00,0.78,0.90,3.27,5.52,0.54,0.36,7.95,0.00,1.31,2.15,5.84,8.39,1.23,0.88,25.43,0.00,4.24,6.74,19.21,22.08,4.54,2.09,156.28,0.00,31.39,40.04,105.84,110.49,0
'[11:43:51.649 11/09/2023]',0.14,0.11,1.91,0.00,0.39,0.49,1.49,2.78,0.24,0.25,3.55,0.00,0.76,0.87,3.11,5.22,0.51,0.37,7.42,0.00,1.27,2.02,5.62,7.90,1.16,0.86,23.69,0.00,4.03,6.29,17.95,20.83,4.43,2.09,152.37,0.00,30.55,39.01,103.23,107.78,0
'[11:43:51.714 11/09/2023]',0.13,0.11,1.95,0.00,0.40,0.51,1.50,2.72,0.23,0.24,3.52,0.00,0.76,0.87,3.05,4.92,0.51,0.35,7.10,0.00,1.24,1.96,5.51,7.62,1.13,0.83,22.34,0.00,3.80,5.95,17.01,19.98,4.26,2.03,146.69,0.00,29.41,37.55,99.38,103.78,0
'[11:43:51.736 11/09/2023]',0.13,0.11,1.93,0.00,0.38,0.51,1.48,2.62,0.22,0.23,3.45,0.00,0.74,0.85,3.01,4.65,0.49,0.33,6.76,0.00,1.17,1.86,5.37,7.36,1.10,0.80,21.06,0.00,3.53,5.62,16.19,18.99,4.08,1.96,140.39,0.00,28.14,35.94,95.11,99.33,0
'[11:43:51.765 11/09/2023]',0.13,0.11,1.80,0.00,0.37,0.47,1.38,2.46,0.21,0.22,3.24,0.00,0.71,0.80,2.87,4.35,0.48,0.32,6.32,0.00,1.11,1.76,5.21,7.08,1.07,0.77,19.84,0.00,3.28,5.32,15.46,18.11,3.90,1.87,134.11,0.00,26.88,34.33,90.87,94.89,0
'[11:43:51.792 11/09/2023]',0.13,0.12,1.72,0.00,0.36,0.46,1.32,2.31,0.20,0.21,3.02,0.00,0.66,0.76,2.68,4.15,0.48,0.32,6.00,0.00,1.07,1.70,5.17,6.94,1.04,0.74,18.69,0.00,3.09,5.05,14.80,17.40,3.72,1.78,128.17,0.00,25.69,32.81,86.84,90.66,0
'[11:43:51.819 11/09/2023]',0.13,0.13,1.69,0.00,0.34,0.44,1.31,2.20,0.19,0.21,2.91,0.00,0.62,0.72,2.59,3.93,0.47,0.31,5.63,0.00,1.02,1.61,5.06,6.73,1.00,0.71,17.61,0.00,2.92,4.79,14.17,16.73,3.56,1.70,122.65,0.00,24.57,31.40,83.10,86.73,0
'[11:43:51.846 11/09/2023]',0.13,0.13,1.62,0.00,0.32,0.42,1.29,2.12,0.18,0.22,2.78,0.00,0.58,0.69,2.52,3.64,0.47,0.31,5.34,0.00,0.97,1.55,4.98,6.53,0.96,0.68,16.61,0.00,2.79,4.57,13.64,15.91,3.41,1.62,117.41,0.00,23.53,30.05,79.53,82.98,0
'[11:43:51.869 11/09/2023]',0.13,0.14,1.58,0.00,0.31,0.41,1.25,1.99,0.17,0.23,2.71,0.00,0.56,0.68,2.46,3.46,0.46,0.30,5.08,0.00,0.95,1.49,4.86,6.30,0.93,0.65,15.64,0.00,2.68,4.38,13.13,15.20,3.26,1.55,112.44,0.00,22.54,28.78,76.13,79.43,0
'[11:43:51.896 11/09/2023]',0.13,0.15,1.61,0.00,0.30,0.40,1.24,1.91,0.17,0.23,2.71,0.00,0.55,0.67,2.44,3.27,0.46,0.30,4.93,0.00,0.93,1.45,4.85,6.21,0.89,0.62,14.69,0.00,2.57,4.19,12.74,14.73,3.13,1.48,107.68,0.00,21.58,27.55,72.90,76.05,0
'[11:43:51.927 11/09/2023]',0.13,0.15,1.51,0.00,0.29,0.38,1.16,1.81,0.17,0.24,2.56,0.00,0.54,0.64,2.34,3.09,0.46,0.30,4.64,0.00,0.91,1.41,4.76,6.06,0.89,0.58,13.81,0.00,2.46,4.02,12.42,14.32,2.99,1.42,102.88,0.00,20.61,26.31,69.63,72.63,0
'[11:43:51.955 11/09/2023]',0.14,0.16,1.41,0.00,0.30,0.37,1.11,1.75,0.17,0.24,2.39,0.00,0.52,0.61,2.17,3.05,0.49,0.30,4.50,0.00,0.92,1.38,4.63,5.96,0.88,0.57,13.85,0.00,2.50,4.06,12.34,14.04,2.89,1.35,99.29,0.00,19.93,25.41,67.16,70.10,0
'[11:43:51.978 11/09/2023]',0.14,0.16,1.32,0.00,0.29,0.36,1.05,1.69,0.16,0.24,2.27,0.00,0.49,0.57,2.09,2.89,0.51,0.30,4.37,0.00,0.90,1.33,4.41,5.73,0.87,0.58,13.79,0.00,2.51,4.06,12.32,14.09,2.82,1.30,96.62,0.00,19.40,24.73,65.34,68.22,0
'[11:43:52.002 11/09/2023]',0.15,0.16,1.24,0.00,0.30,0.35,0.99,1.66,0.16,0.25,2.10,0.00,0.48,0.53,2.00,2.78,0.53,0.29,4.18,0.00,0.89,1.27,4.21,5.43,0.86,0.59,13.70,0.00,2.54,4.06,12.30,14.08,2.75,1.27,94.15,0.00,18.90,24.08,63.65,66.47,0
'[11:43:52.033 11/09/2023]',0.16,0.17,1.23,0.00,0.30,0.35,0.98,1.66,0.17,0.25,2.04,0.00,0.46,0.51,1.91,2.65,0.54,0.29,4.01,0.00,0.86,1.23,4.10,5.22,0.83,0.59,13.58,0.00,2.55,4.05,12.30,14.06,2.67,1.24,91.67,0.00,18.41,23.45,61.95,64.70,0
'[11:43:52.063 11/09/2023]',0.16,0.17,1.24,0.00,0.29,0.35,1.00,1.70,0.18,0.25,1.99,0.00,0.45,0.51,1.83,2.66,0.55,0.28,3.86,0.00,0.83,1.16,3.89,4.85,0.82,0.59,13.41,0.00,2.56,4.03,12.23,13.85,2.60,1.22,89.00,0.00,17.88,22.77,60.13,62.81,0
'[11:43:52.093 11/09/2023]',0.16,0.17,1.22,0.00,0.28,0.34,1.02,1.69,0.19,0.25,1.90,0.00,0.42,0.50,1.81,2.65,0.55,0.26,3.81,0.00,0.82,1.13,3.75,4.67,0.84,0.59,13.30,0.00,2.58,4.01,12.15,13.80,2.51,1.19,86.08,0.00,17.36,22.03,58.15,60.79,0
'[11:43:52.114 11/09/2023]',0.17,0.17,1.16,0.00,0.27,0.33,0.98,1.66,0.20,0.26,1.80,0.00,0.40,0.47,1.68,2.59,0.56,0.25,3.66,0.00,0.80,1.08,3.55,4.39,0.86,0.60,13.27,0.00,2.63,4.01,12.06,13.74,2.44,1.16,83.07,0.00,16.83,21.27,56.15,58.96,0
'[11:43:52.144 11/09/2023]',0.17,0.17,1.20,0.00,0.29,0.35,1.03,1.73,0.21,0.26,1.75,0.00,0.39,0.48,1.67,2.61,0.55,0.24,3.50,0.00,0.77,1.07,3.52,4.29,0.88,0.60,13.17,0.00,2.65,3.99,11.86,13.54,2.35,1.13,80.18,0.00,16.25,20.53,54.21,56.93,0
'[11:43:52.166 11/09/2023]',0.17,0.17,1.22,0.00,0.28,0.35,1.05,1.76,0.22,0.27,1.72,0.00,0.37,0.45,1.64,2.51,0.54,0.23,3.37,0.00,0.74,1.03,3.36,4.02,0.90,0.60,13.01,0.00,2.65,3.94,11.60,13.25,2.26,1.09,77.27,0.00,15.63,19.78,52.12,54.75,0
'[11:43:52.196 11/09/2023]',0.17,0.18,1.15,0.00,0.28,0.34,1.02,1.73,0.23,0.28,1.62,0.00,0.35,0.43,1.54,2.42,0.53,0.22,3.25,0.00,0.72,1.01,3.26,3.87,0.93,0.60,12.75,0.00,2.62,3.86,11.23,12.94,2.19,1.05,75.08,0.00,15.11,19.23,50.62,52.88,0
'[11:43:52.230 11/09/2023]',0.17,0.18,1.12,0.00,0.28,0.34,1.00,1.72,0.24,0.29,1.52,0.00,0.33,0.40,1.47,2.31,0.52,0.22,3.14,0.00,0.72,1.00,3.16,3.75,0.95,0.60,12.47,0.00,2.61,3.95,10.85,12.82,2.14,1.01,73.45,0.00,14.79,18.81,49.50,51.73,0
'[11:43:52.262 11/09/2023]',0.17,0.18,1.12,0.00,0.28,0.34,0.99,1.72,0.25,0.29,1.49,0.00,0.32,0.39,1.39,2.21,0.52,0.22,2.99,0.00,0.70,0.98,3.09,3.62,0.97,0.59,12.26,0.00,2.67,4.03,10.85,12.77,2.10,0.96,72.30,0.00,14.57,18.52,48.70,50.92,0
'[11:43:52.283 11/09/2023]',0.17,0.18,1.07,0.00,0.27,0.34,0.97,1.72,0.26,0.30,1.41,0.00,0.31,0.39,1.30,2.13,0.51,0.22,2.86,0.00,0.67,0.97,2.98,3.56,0.98,0.59,12.26,0.00,2.70,4.09,10.97,12.65,2.08,0.94,71.49,0.00,14.42,18.32,48.15,50.36,0
'[11:43:52.311 11/09/2023]',0.16,0.18,1.02,0.00,0.26,0.32,0.92,1.66,0.27,0.30,1.33,0.00,0.30,0.38,1.24,2.00,0.50,0.22,2.82,0.00,0.66,0.97,2.90,3.57,0.99,0.58,12.27,0.00,2.74,4.14,11.08,12.49,2.07,0.93,70.99,0.00,14.34,18.21,47.79,50.01,0
'[11:43:52.335 11/09/2023]',0.16,0.18,1.00,0.00,0.26,0.32,0.92,1.65,0.27,0.30,1.30,0.00,0.30,0.38,1.26,1.96,0.49,0.23,2.73,0.00,0.66,0.96,2.84,3.51,1.01,0.56,12.34,0.00,2.78,4.19,11.25,12.45,2.06,0.93,70.66,0.00,14.28,18.13,47.57,49.79,0
'[11:43:52.365 11/09/2023]',0.16,0.18,0.96,0.00,0.25,0.32,0.89,1.60,0.28,0.31,1.25,0.00,0.30,0.39,1.26,1.89,0.49,0.22,2.66,0.00,0.65,0.95,2.77,3.45,1.02,0.56,12.38,0.00,2.81,4.24,11.41,12.37,2.05,0.92,70.37,0.00,14.23,18.06,47.37,49.59,0
'[11:43:52.393 11/09/2023]',0.16,0.18,0.89,0.00,0.24,0.30,0.83,1.52,0.29,0.31,1.20,0.00,0.29,0.39,1.24,1.84,0.48,0.22,2.62,0.00,0.65,0.94,2.70,3.34,1.03,0.56,12.43,0.00,2.85,4.28,11.56,12.31,2.05,0.92,70.10,0.00,14.18,18.00,47.19,49.42,0
'[11:43:52.425 11/09/2023]',0.16,0.19,0.84,0.00,0.23,0.30,0.80,1.56,0.29,0.31,1.15,0.00,0.28,0.38,1.18,1.81,0.47,0.22,2.59,0.00,0.65,0.92,2.64,3.41,1.04,0.56,12.47,0.00,2.89,4.31,11.72,12.38,2.04,0.92,69.80,0.00,14.13,17.92,46.97,49.21,0
'[11:43:52.451 11/09/2023]',0.15,0.19,0.79,0.00,0.22,0.29,0.77,1.50,0.29,0.31,1.10,0.00,0.27,0.37,1.16,1.70,0.47,0.21,2.57,0.00,0.65,0.91,2.54,3.50,1.05,0.56,12.57,0.00,2.95,4.37,11.93,12.70,2.03,0.92,69.46,0.00,14.07,17.84,46.72,48.97,0
'[11:43:52.479 11/09/2023]',0.15,0.19,0.75,0.00,0.22,0.29,0.75,1.47,0.29,0.30,1.07,0.00,0.26,0.36,1.12,1.63,0.46,0.21,2.53,0.00,0.65,0.90,2.44,3.53,1.05,0.56,12.63,0.00,2.99,4.41,12.09,12.95,2.02,0.92,69.09,0.00,14.00,17.75,46.47,48.72,0
'[11:43:52.509 11/09/2023]',0.15,0.19,0.70,0.00,0.20,0.28,0.72,1.43,0.30,0.29,1.03,0.00,0.25,0.35,1.09,1.59,0.45,0.20,2.46,0.00,0.65,0.89,2.39,3.55,1.05,0.56,12.64,0.00,3.04,4.44,12.15,13.13,2.01,0.91,68.71,0.00,13.93,17.65,46.20,48.45,0
'[11:43:52.537 11/09/2023]',0.14,0.18,0.67,0.00,0.20,0.27,0.70,1.37,0.29,0.29,1.04,0.00,0.24,0.34,1.03,1.56,0.43,0.19,2.44,0.00,0.65,0.90,2.28,3.59,1.04,0.56,12.66,0.00,3.07,4.46,12.23,13.31,2.00,0.91,68.34,0.00,13.86,17.56,45.93,48.19,0
'[11:43:52.564 11/09/2023]',0.13,0.17,0.64,0.00,0.19,0.26,0.67,1.30,0.29,0.27,1.04,0.00,0.23,0.33,1.03,1.55,0.42,0.18,2.40,0.00,0.64,0.91,2.16,3.61,1.04,0.56,12.70,0.00,3.11,4.48,12.33,13.52,1.99,0.91,67.99,0.00,13.80,17.47,45.68,47.93,0
'[11:43:52.593 11/09/2023]',0.13,0.16,0.61,0.00,0.18,0.25,0.65,1.23,0.29,0.25,1.03,0.00,0.21,0.32,1.06,1.54,0.41,0.17,2.36,0.00,0.63,0.92,2.03,3.58,1.03,0.55,12.70,0.00,3.13,4.48,12.36,13.62,1.98,0.90,67.70,0.00,13.74,17.40,45.48,47.73,0
'[11:43:52.619 11/09/2023]',0.12,0.15,0.57,0.00,0.17,0.24,0.63,1.17,0.28,0.24,1.03,0.00,0.21,0.31,1.08,1.52,0.40,0.17,2.37,0.00,0.62,0.92,1.89,3.58,1.04,0.57,12.67,0.00,3.15,4.47,12.37,13.69,1.98,0.90,67.42,0.00,13.70,17.34,45.27,47.53,0
'[11:43:52.648 11/09/2023]',0.12,0.14,0.53,0.00,0.16,0.23,0.59,1.12,0.28,0.23,1.04,0.00,0.20,0.30,1.13,1.51,0.39,0.17,2.36,0.00,0.61,0.92,1.82,3.58,1.05,0.58,12.63,0.00,3.15,4.46,12.34,13.74,1.98,0.90,67.20,0.00,13.66,17.29,45.12,47.39,0
'[11:43:52.690 11/09/2023]',0.12,0.13,0.51,0.00,0.16,0.22,0.56,1.09,0.29,0.21,1.08,0.00,0.20,0.29,1.18,1.50,0.38,0.17,2.33,0.00,0.60,0.92,1.75,3.57,1.04,0.59,12.59,0.00,3.14,4.43,12.30,13.78,1.97,0.90,67.00,0.00,13.62,17.24,44.98,47.26,0
'[11:43:52.788 11/09/2023]',0.12,0.13,0.49,0.00,0.15,0.21,0.54,1.03,0.28,0.20,1.12,0.00,0.20,0.29,1.24,1.44,0.38,0.17,2.29,0.00,0.57,0.92,1.68,3.55,1.02,0.60,12.57,0.00,3.12,4.42,12.27,13.95,1.97,0.90,66.81,0.00,13.58,17.20,44.84,47.14,0
'[11:43:52.882 11/09/2023]',0.11,0.12,0.88,0.00,0.21,0.30,0.80,1.24,0.27,0.19,1.47,0.00,0.26,0.38,1.46,1.73,0.37,0.17,2.52,0.00,0.61,0.92,1.97,3.53,0.97,0.60,11.66,0.00,2.96,4.16,11.68,13.72,1.94,0.90,65.92,0.00,13.39,16.97,44.24,46.47,0
'[11:43:52.975 11/09/2023]',0.11,0.12,0.82,0.00,0.21,0.29,0.78,1.19,0.26,0.19,1.44,0.00,0.25,0.35,1.43,1.72,0.35,0.18,2.39,0.00,0.60,0.89,2.03,3.52,0.91,0.59,10.99,0.00,2.79,3.94,11.15,13.62,1.88,0.89,63.95,0.00,12.96,16.45,42.91,45.07,0
'[11:43:53.061 11/09/2023]',0.11,0.11,0.78,0.00,0.21,0.28,0.74,1.11,0.25,0.18,1.43,0.00,0.26,0.34,1.49,1.75,0.33,0.18,2.30,0.00,0.57,0.86,2.06,3.54,0.85,0.59,10.45,0.00,2.66,3.76,10.77,13.38,1.80,0.86,61.32,0.00,12.42,15.77,41.15,43.24,0
'[11:43:53.144 11/09/2023]',0.10,0.10,0.79,0.00,0.20,0.28,0.74,1.06,0.24,0.17,1.48,0.00,0.25,0.33,1.55,1.80,0.32,0.18,2.27,0.00,0.56,0.87,2.07,3.58,0.80,0.59,9.97,0.00,2.55,3.59,10.47,13.15,1.72,0.83,58.46,0.00,11.84,15.04,39.23,41.24,0
'[11:43:53.240 11/09/2023]',0.10,0.10,0.74,0.00,0.19,0.26,0.70,0.99,0.23,0.16,1.44,0.00,0.24,0.32,1.54,1.79,0.32,0.19,2.15,0.00,0.54,0.84,2.02,3.54,0.75,0.58,9.45,0.00,2.45,3.41,10.14,12.97,1.64,0.79,55.66,0.00,11.28,14.33,37.36,39.28,0
'[11:43:53.324 11/09/2023]',0.10,0.09,0.74,0.00,0.18,0.25,0.68,0.97,0.22,0.15,1.36,0.00,0.23,0.32,1.47,1.72,0.31,0.20,2.05,0.00,0.52,0.81,1.96,3.51,0.72,0.59,8.88,0.00,2.34,3.23,9.74,12.71,1.56,0.75,53.01,0.00,10.74,13.65,35.57,37.42,0
'[11:43:53.411 11/09/2023]',0.10,0.09,0.77,0.00,0.18,0.25,0.72,1.00,0.21,0.14,1.30,0.00,0.23,0.32,1.41,1.74,0.30,0.21,1.99,0.00,0.51,0.81,1.97,3.56,0.68,0.59,8.28,0.00,2.23,3.02,9.27,12.35,1.49,0.72,50.59,0.00,10.25,13.03,33.94,35.73,0
'[11:43:53.504 11/09/2023]',0.10,0.08,0.73,0.00,0.17,0.24,0.68,0.95,0.20,0.13,1.27,0.00,0.22,0.31,1.39,1.68,0.29,0.22,1.88,0.00,0.50,0.77,1.94,3.54,0.67,0.59,7.70,0.00,2.10,2.83,9.05,12.09,1.43,0.69,48.30,0.00,9.79,12.44,32.41,34.12,0
'[11:43:53.596 11/09/2023]',0.09,0.08,0.69,0.00,0.16,0.23,0.66,0.91,0.19,0.13,1.25,0.00,0.21,0.31,1.41,1.66,0.29,0.23,1.83,0.00,0.47,0.72,1.94,3.51,0.66,0.59,7.29,0.00,1.98,2.64,8.83,11.79,1.37,0.66,46.11,0.00,9.35,11.88,30.93,32.56,0
'[11:43:53.686 11/09/2023]',0.09,0.08,0.72,0.00,0.16,0.23,0.67,0.91,0.18,0.13,1.29,0.00,0.22,0.29,1.43,1.65,0.29,0.23,1.87,0.00,0.45,0.68,1.95,3.46,0.65,0.59,6.95,0.00,1.87,2.47,8.62,11.44,1.31,0.63,44.02,0.00,8.92,11.34,29.52,31.07,0
'[11:43:53.746 11/09/2023]',0.08,0.07,0.71,0.00,0.15,0.22,0.64,0.92,0.16,0.12,1.27,0.00,0.22,0.29,1.40,1.60,0.29,0.23,1.83,0.00,0.43,0.64,1.92,3.38,0.64,0.59,6.72,0.00,1.78,2.32,8.47,11.14,1.25,0.60,41.97,0.00,8.50,10.81,28.14,29.62,0
'[11:43:53.772 11/09/2023]',0.08,0.07,0.67,0.00,0.16,0.22,0.64,0.94,0.15,0.12,1.23,0.00,0.23,0.30,1.38,1.59,0.30,0.22,1.82,0.00,0.41,0.60,1.91,3.28,0.62,0.59,6.42,0.00,1.68,2.18,8.28,10.76,1.19,0.57,39.92,0.00,8.09,10.27,27.00,28.16,0
'[11:43:53.794 11/09/2023]',0.07,0.07,0.64,0.00,0.15,0.20,0.61,0.91,0.14,0.12,1.20,0.00,0.23,0.29,1.31,1.57,0.30,0.21,1.85,0.00,0.40,0.59,1.96,3.20,0.61,0.58,6.17,0.00,1.59,2.04,8.13,10.46,1.13,0.55,38.17,0.00,7.75,9.76,25.86,26.96,0
