'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'[11:32:29.667 11/09/2023]',0.52,0.25,1.52,1.14,0.52,0.31,0.00,0.82,0.72,0.37,2.18,2.43,0.60,0.48,0.00,1.39,1.09,0.54,6.20,7.81,1.43,1.14,0.00,4.93,1.68,0.75,19.90,21.10,5.03,3.28,0.00,14.93,2.12,1.40,90.59,74.62,28.30,15.88,0.00,51.19,0
'[11:32:29.703 11/09/2023]',0.49,0.24,1.51,1.16,0.49,0.30,0.00,0.83,0.72,0.36,2.27,2.49,0.58,0.48,0.00,1.45,1.09,0.54,6.33,7.76,1.49,1.18,0.00,4.91,1.71,0.76,20.85,22.11,5.28,3.47,0.00,15.57,2.34,1.52,99.68,81.95,31.16,17.48,0.00,55.92,0
'[11:32:29.737 11/09/2023]',0.47,0.23,1.48,1.08,0.51,0.30,0.00,0.79,0.72,0.34,2.29,2.47,0.60,0.48,0.00,1.48,1.09,0.53,6.49,7.78,1.57,1.23,0.00,4.93,1.74,0.76,21.70,22.86,5.44,3.62,0.00,16.04,2.56,1.64,109.06,89.61,34.12,19.13,0.00,61.15,0
'[11:32:29.767 11/09/2023]',0.45,0.22,1.55,1.12,0.53,0.32,0.00,0.82,0.71,0.32,2.46,2.57,0.62,0.48,0.00,1.59,1.10,0.52,6.72,7.84,1.60,1.24,0.00,4.98,1.75,0.77,22.53,23.48,5.58,3.73,0.00,16.41,2.77,1.79,118.41,97.28,37.04,20.77,0.00,66.39,0
'[11:32:29.796 11/09/2023]',0.44,0.21,1.54,1.12,0.51,0.32,0.00,0.80,0.70,0.31,2.58,2.68,0.63,0.48,0.00,1.64,1.11,0.51,6.96,7.91,1.62,1.27,0.00,5.02,1.78,0.77,23.36,24.18,5.77,3.87,0.00,16.83,2.98,1.94,127.38,104.66,39.85,22.34,0.00,71.42,0
'[11:32:29.830 11/09/2023]',0.43,0.20,1.44,1.06,0.50,0.33,0.00,0.75,0.69,0.29,2.63,2.72,0.66,0.49,0.00,1.67,1.12,0.49,7.13,7.93,1.62,1.28,0.00,5.06,1.80,0.77,24.21,24.83,5.93,4.01,0.00,17.18,3.18,2.09,135.82,111.58,42.50,23.82,0.00,76.13,0
'[11:32:29.859 11/09/2023]',0.41,0.19,1.43,1.06,0.50,0.34,0.00,0.78,0.68,0.27,2.74,2.81,0.68,0.50,0.00,1.74,1.13,0.48,7.18,7.86,1.68,1.31,0.00,5.03,1.83,0.78,24.99,25.27,6.04,4.10,0.00,17.40,3.36,2.23,143.67,118.03,44.97,25.20,0.00,80.54,0
'[11:32:29.889 11/09/2023]',0.40,0.18,1.38,1.02,0.48,0.33,0.00,0.75,0.68,0.26,2.75,2.84,0.67,0.50,0.00,1.76,1.15,0.47,7.32,7.87,1.70,1.32,0.00,5.06,1.85,0.79,25.64,25.71,6.16,4.21,0.00,17.61,3.52,2.35,150.80,123.91,47.19,26.45,0.00,84.55,0
'[11:32:29.922 11/09/2023]',0.39,0.17,1.32,0.95,0.45,0.32,0.00,0.72,0.68,0.25,2.76,2.81,0.67,0.50,0.00,1.73,1.18,0.46,7.45,7.89,1.72,1.33,0.00,5.11,1.87,0.79,26.17,26.22,6.30,4.33,0.00,17.89,3.67,2.47,157.19,129.19,49.19,27.58,0.00,88.16,0
'[11:32:29.951 11/09/2023]',0.38,0.16,1.23,0.91,0.43,0.31,0.00,0.71,0.67,0.23,2.73,2.83,0.65,0.49,0.00,1.76,1.21,0.44,7.64,7.98,1.71,1.32,0.00,5.21,1.90,0.78,26.66,26.57,6.40,4.41,0.00,18.07,3.80,2.57,162.89,133.89,50.98,28.58,0.00,91.39,0
'[11:32:29.986 11/09/2023]',0.38,0.15,1.16,0.86,0.41,0.31,0.00,0.68,0.66,0.23,2.72,2.82,0.64,0.49,0.00,1.75,1.24,0.42,7.75,8.00,1.71,1.31,0.00,5.25,1.93,0.79,27.15,26.88,6.49,4.49,0.00,18.24,3.91,2.66,168.01,138.12,52.58,29.48,0.00,94.29,0
'[11:32:30.014 11/09/2023]',0.37,0.14,1.12,0.83,0.39,0.30,0.00,0.67,0.66,0.21,2.74,2.78,0.63,0.49,0.00,1.71,1.27,0.40,7.90,8.06,1.71,1.31,0.00,5.32,1.94,0.80,27.61,27.15,6.58,4.57,0.00,18.38,4.02,2.74,172.63,141.95,54.02,30.29,0.00,96.90,0
'[11:32:30.043 11/09/2023]',0.37,0.14,1.07,0.78,0.37,0.29,0.00,0.64,0.66,0.20,2.73,2.79,0.62,0.49,0.00,1.74,1.29,0.38,8.02,8.11,1.72,1.31,0.00,5.37,1.96,0.80,27.99,27.28,6.63,4.63,0.00,18.49,4.12,2.81,176.83,145.42,55.34,31.04,0.00,99.28,0
'[11:32:30.072 11/09/2023]',0.36,0.13,1.05,0.77,0.36,0.28,0.00,0.62,0.66,0.19,2.72,2.75,0.60,0.49,0.00,1.74,1.32,0.37,8.09,8.11,1.73,1.31,0.00,5.39,1.98,0.80,28.35,27.43,6.68,4.69,0.00,18.89,4.20,2.88,180.67,148.58,56.53,31.71,0.00,101.44,0
'[11:32:30.100 11/09/2023]',0.36,0.12,1.03,0.77,0.35,0.28,0.00,0.63,0.66,0.18,2.72,2.72,0.59,0.48,0.00,1.73,1.36,0.35,8.17,8.12,1.73,1.32,0.00,5.44,2.01,0.80,28.65,27.63,6.73,4.74,0.00,19.25,4.29,2.94,184.21,151.51,57.64,32.33,0.00,103.44,0
'[11:32:30.137 11/09/2023]',0.36,0.11,0.99,0.77,0.35,0.28,0.00,0.64,0.65,0.17,2.72,2.65,0.58,0.48,0.00,1.70,1.40,0.33,8.25,8.17,1.74,1.32,0.00,5.48,2.05,0.81,28.96,27.76,6.76,4.77,0.00,19.53,4.37,3.00,187.51,154.21,58.66,32.92,0.00,105.29,0
'[11:32:30.187 11/09/2023]',0.36,0.11,0.96,0.74,0.34,0.27,0.00,0.62,0.65,0.17,2.74,2.62,0.57,0.48,0.00,1.70,1.43,0.32,8.29,8.28,1.74,1.32,0.00,5.48,2.09,0.81,29.27,27.93,6.79,4.79,0.00,19.76,4.44,3.06,190.54,156.71,59.61,33.45,0.00,106.99,0
'[11:32:30.266 11/09/2023]',0.36,0.10,0.94,0.76,0.33,0.28,0.00,0.63,0.64,0.16,2.74,2.60,0.57,0.48,0.00,1.73,1.46,0.30,8.29,8.33,1.74,1.31,0.00,5.49,2.12,0.81,29.52,28.19,6.86,4.81,0.00,19.97,4.51,3.11,193.31,158.98,60.47,33.93,0.00,108.53,0
'[11:32:30.352 11/09/2023]',0.37,0.10,1.92,1.81,0.42,0.38,0.00,1.30,0.64,0.16,3.65,3.45,0.67,0.59,0.00,2.40,1.45,0.29,8.72,8.66,1.73,1.37,0.00,5.75,2.08,0.81,28.01,26.66,6.45,4.54,0.00,18.91,4.49,3.15,192.91,158.83,60.26,33.83,0.00,108.37,0
'[11:32:30.413 11/09/2023]',0.36,0.10,2.07,1.81,0.54,0.43,0.00,1.32,0.60,0.17,3.69,3.39,0.77,0.64,0.00,2.36,1.38,0.29,8.42,8.10,1.73,1.38,0.00,5.42,1.97,0.80,26.25,24.89,6.09,4.27,0.00,17.81,4.38,3.15,188.41,155.22,58.86,33.04,0.00,105.86,0
'[11:32:30.497 11/09/2023]',0.34,0.10,2.21,1.88,0.59,0.45,0.00,1.37,0.56,0.16,3.76,3.46,0.82,0.66,0.00,2.42,1.32,0.27,8.03,7.79,1.72,1.31,0.00,5.27,1.86,0.79,24.53,23.54,5.72,4.05,0.00,16.96,4.22,3.07,181.76,149.74,56.81,31.90,0.00,102.12,0
'[11:32:30.575 11/09/2023]',0.33,0.10,2.17,1.83,0.56,0.42,0.00,1.33,0.53,0.16,3.63,3.40,0.79,0.62,0.00,2.37,1.27,0.26,7.62,7.53,1.63,1.24,0.00,5.10,1.76,0.76,22.72,22.18,5.30,3.79,0.00,16.06,4.05,2.96,174.27,143.57,54.45,30.58,0.00,97.91,0
'[11:32:30.662 11/09/2023]',0.31,0.10,2.02,1.73,0.53,0.40,0.00,1.27,0.50,0.16,3.39,3.25,0.75,0.59,0.00,2.27,1.22,0.24,7.11,7.17,1.54,1.17,0.00,4.89,1.66,0.74,21.21,20.75,4.98,3.55,0.00,15.15,3.88,2.84,166.69,137.31,52.08,29.25,0.00,93.63,0
'[11:32:30.729 11/09/2023]',0.30,0.10,1.96,1.76,0.51,0.38,0.00,1.27,0.48,0.16,3.21,3.09,0.71,0.57,0.00,2.15,1.18,0.23,6.62,6.81,1.46,1.09,0.00,4.72,1.55,0.72,19.81,19.45,4.67,3.32,0.00,14.32,3.72,2.72,159.58,131.44,49.85,28.00,0.00,89.62,0
'[11:32:30.803 11/09/2023]',0.28,0.09,1.88,1.72,0.47,0.36,0.00,1.22,0.46,0.16,3.05,2.94,0.66,0.54,0.00,2.04,1.13,0.22,6.25,6.44,1.37,1.04,0.00,4.47,1.46,0.71,18.54,18.13,4.37,3.10,0.00,13.46,3.58,2.60,152.95,125.97,47.79,26.84,0.00,85.88,0
'[11:32:30.881 11/09/2023]',0.27,0.09,1.80,1.68,0.48,0.35,0.00,1.18,0.43,0.15,2.83,2.79,0.64,0.52,0.00,1.94,1.08,0.22,5.85,6.07,1.30,0.99,0.00,4.27,1.37,0.70,17.22,16.89,4.13,2.94,0.00,12.70,3.45,2.49,146.72,120.82,45.87,25.75,0.00,82.37,0
'[11:32:30.962 11/09/2023]',0.26,0.08,1.83,1.65,0.49,0.35,0.00,1.14,0.42,0.15,2.79,2.67,0.64,0.51,0.00,1.88,1.03,0.21,5.63,5.71,1.25,0.97,0.00,4.04,1.30,0.69,16.23,15.92,3.92,2.76,0.00,12.02,3.33,2.39,140.85,115.92,44.06,24.73,0.00,79.04,0
'[11:32:31.039 11/09/2023]',0.25,0.08,1.83,1.67,0.46,0.34,0.00,1.15,0.39,0.15,2.77,2.75,0.63,0.49,0.00,1.94,1.00,0.20,5.32,5.58,1.20,0.92,0.00,3.98,1.25,0.68,15.24,14.91,3.68,2.64,0.00,11.42,3.21,2.30,135.08,111.17,42.25,23.70,0.00,75.78,0
'[11:32:31.124 11/09/2023]',0.24,0.08,1.75,1.63,0.48,0.33,0.00,1.14,0.38,0.14,2.64,2.63,0.63,0.47,0.00,1.88,0.97,0.19,5.00,5.36,1.18,0.88,0.00,3.86,1.20,0.66,14.28,14.28,3.47,2.58,0.00,10.90,3.08,2.21,129.22,106.29,40.43,22.67,0.00,72.43,0
'[11:32:31.200 11/09/2023]',0.24,0.07,1.78,1.57,0.50,0.34,0.00,1.10,0.36,0.14,2.64,2.58,0.65,0.47,0.00,1.88,0.93,0.18,4.79,5.11,1.14,0.86,0.00,3.66,1.14,0.64,13.41,13.94,3.26,2.49,0.00,10.59,2.98,2.12,123.44,101.48,38.96,21.66,0.00,69.14,0
'[11:32:31.261 11/09/2023]',0.23,0.07,1.78,1.60,0.48,0.33,0.00,1.10,0.35,0.14,2.60,2.65,0.62,0.45,0.00,1.90,0.90,0.18,4.66,5.18,1.06,0.84,0.00,3.54,1.09,0.63,12.59,13.52,3.05,2.37,0.00,10.42,2.87,2.03,117.64,96.71,37.52,20.78,0.00,65.89,0
'[11:32:31.288 11/09/2023]',0.22,0.07,1.66,1.51,0.46,0.31,0.00,1.05,0.34,0.14,2.44,2.55,0.60,0.42,0.00,1.85,0.86,0.17,4.39,5.04,1.00,0.81,0.00,3.43,1.06,0.61,11.72,13.08,2.86,2.29,0.00,10.22,2.74,1.93,112.04,91.85,35.87,19.87,0.00,62.56,0
'[11:32:31.314 11/09/2023]',0.22,0.07,1.64,1.45,0.47,0.31,0.00,1.01,0.34,0.14,2.38,2.47,0.60,0.42,0.00,1.79,0.83,0.18,4.15,4.87,0.97,0.76,0.00,3.32,1.03,0.60,10.93,12.57,2.71,2.20,0.00,9.98,2.60,1.83,106.50,86.99,34.11,18.90,0.00,59.40,0
'[11:32:31.346 11/09/2023]',0.21,0.07,1.62,1.44,0.45,0.30,0.00,0.98,0.33,0.13,2.27,2.40,0.57,0.41,0.00,1.69,0.80,0.19,3.94,4.63,0.93,0.73,0.00,3.14,1.01,0.58,10.29,12.17,2.53,2.10,0.00,9.75,2.46,1.74,100.76,82.27,32.27,17.88,0.00,56.19,0
'[11:32:31.375 11/09/2023]',0.20,0.07,1.51,1.35,0.42,0.28,0.00,0.91,0.32,0.13,2.13,2.28,0.55,0.39,0.00,1.59,0.77,0.19,3.72,4.46,0.89,0.71,0.00,3.04,0.99,0.55,9.80,11.86,2.41,2.03,0.00,9.55,2.31,1.65,94.85,77.47,30.37,16.83,0.00,52.89,0
'[11:32:31.406 11/09/2023]',0.20,0.08,1.46,1.29,0.42,0.28,0.00,0.88,0.31,0.13,2.01,2.18,0.55,0.40,0.00,1.49,0.74,0.19,3.60,4.38,0.86,0.67,0.00,2.98,0.98,0.53,9.35,11.70,2.28,1.94,0.00,9.38,2.16,1.55,88.87,72.75,28.46,15.77,0.00,49.60,0
'[11:32:31.436 11/09/2023]',0.19,0.08,1.41,1.23,0.39,0.27,0.00,0.84,0.30,0.13,1.89,2.21,0.52,0.39,0.00,1.39,0.72,0.18,3.39,4.26,0.83,0.66,0.00,2.89,0.97,0.52,8.91,11.47,2.19,1.84,0.00,9.29,2.02,1.46,82.99,68.19,26.58,14.73,0.00,46.52,0
'[11:32:31.466 11/09/2023]',0.19,0.07,1.33,1.16,0.37,0.25,0.00,0.80,0.29,0.14,1.80,2.21,0.48,0.38,0.00,1.37,0.70,0.18,3.24,4.16,0.80,0.64,0.00,2.82,0.97,0.50,8.43,11.35,2.15,1.75,0.00,9.17,1.88,1.37,77.34,63.75,24.75,13.72,0.00,43.52,0
'[11:32:31.498 11/09/2023]',0.18,0.07,1.24,1.10,0.35,0.24,0.00,0.75,0.29,0.14,1.68,2.21,0.47,0.37,0.00,1.38,0.68,0.17,3.07,4.03,0.78,0.63,0.00,2.76,0.97,0.49,8.07,11.26,2.12,1.67,0.00,9.03,1.75,1.28,72.09,59.50,23.01,12.75,0.00,40.65,0
'[11:32:31.529 11/09/2023]',0.18,0.07,1.17,1.02,0.33,0.23,0.00,0.73,0.28,0.15,1.62,2.20,0.45,0.36,0.00,1.40,0.67,0.17,2.96,3.99,0.74,0.61,0.00,2.72,0.96,0.48,7.74,11.26,2.07,1.57,0.00,8.80,1.62,1.20,67.11,55.43,21.40,11.85,0.00,37.91,0
'[11:32:31.556 11/09/2023]',0.17,0.07,1.09,0.96,0.32,0.22,0.00,0.68,0.28,0.16,1.52,2.18,0.44,0.36,0.00,1.38,0.65,0.17,2.82,3.92,0.71,0.59,0.00,2.67,0.95,0.47,7.53,11.23,2.02,1.49,0.00,8.59,1.51,1.12,62.42,51.61,19.92,11.03,0.00,35.33,0
'[11:32:31.584 11/09/2023]',0.17,0.07,1.02,0.91,0.30,0.20,0.00,0.66,0.27,0.16,1.44,2.13,0.42,0.35,0.00,1.34,0.63,0.17,2.70,3.84,0.68,0.58,0.00,2.62,0.94,0.47,7.35,11.23,1.97,1.42,0.00,8.40,1.41,1.04,58.02,48.04,18.55,10.28,0.00,32.91,0
'[11:32:31.611 11/09/2023]',0.17,0.07,0.95,0.85,0.28,0.20,0.00,0.62,0.26,0.16,1.37,2.11,0.41,0.35,0.00,1.33,0.59,0.17,2.57,3.75,0.65,0.56,0.00,2.56,0.91,0.46,7.20,11.24,1.92,1.38,0.00,8.28,1.31,0.97,54.00,44.70,17.30,9.58,0.00,30.65,0
'[11:32:31.641 11/09/2023]',0.16,0.06,0.89,0.84,0.27,0.19,0.00,0.60,0.25,0.17,1.32,2.09,0.41,0.35,0.00,1.33,0.56,0.18,2.46,3.67,0.62,0.55,0.00,2.50,0.87,0.46,7.01,11.17,1.88,1.34,0.00,8.22,1.22,0.90,50.36,41.63,16.13,8.93,0.00,28.56,0
'[11:32:31.679 11/09/2023]',0.15,0.06,0.83,0.82,0.25,0.18,0.00,0.57,0.24,0.17,1.27,2.15,0.41,0.34,0.00,1.36,0.52,0.18,2.31,3.50,0.59,0.54,0.00,2.37,0.83,0.45,6.79,10.96,1.82,1.32,0.00,8.06,1.14,0.85,46.99,38.75,15.06,8.34,0.00,26.60,0
'[11:32:31.705 11/09/2023]',0.14,0.06,0.78,0.76,0.24,0.18,0.00,0.54,0.23,0.17,1.20,2.16,0.40,0.33,0.00,1.36,0.49,0.18,2.14,3.27,0.56,0.53,0.00,2.22,0.80,0.43,6.54,10.73,1.76,1.30,0.00,7.88,1.06,0.79,43.84,36.08,14.05,7.78,0.00,24.78,0
'[11:32:31.732 11/09/2023]',0.13,0.06,0.74,0.73,0.23,0.17,0.00,0.52,0.23,0.17,1.16,2.18,0.40,0.33,0.00,1.37,0.47,0.19,2.01,3.16,0.53,0.51,0.00,2.19,0.77,0.42,6.30,10.50,1.71,1.29,0.00,7.69,0.99,0.74,40.91,33.56,13.10,7.26,0.00,23.05,0
'[11:32:31.761 11/09/2023]',0.13,0.06,0.69,0.71,0.21,0.16,0.00,0.49,0.22,0.17,1.12,2.19,0.39,0.33,0.00,1.37,0.44,0.19,1.88,3.22,0.49,0.49,0.00,2.24,0.74,0.41,6.06,10.26,1.68,1.27,0.00,7.48,0.92,0.69,38.12,31.26,12.21,6.76,0.00,21.49,0
'[11:32:31.794 11/09/2023]',0.12,0.07,0.65,0.68,0.20,0.15,0.00,0.47,0.21,0.18,1.10,2.25,0.38,0.33,0.00,1.38,0.42,0.19,1.77,3.24,0.49,0.47,0.00,2.28,0.71,0.42,5.87,9.94,1.64,1.24,0.00,7.21,0.86,0.65,35.51,29.12,11.38,6.30,0.00,20.04,0
'[11:32:31.824 11/09/2023]',0.11,0.07,0.61,0.67,0.19,0.15,0.00,0.45,0.21,0.18,1.06,2.23,0.37,0.33,0.00,1.37,0.39,0.19,1.70,3.30,0.49,0.46,0.00,2.34,0.70,0.44,5.75,9.68,1.61,1.22,0.00,7.00,0.80,0.60,33.07,27.11,10.60,5.87,0.00,18.67,0
'[11:32:31.855 11/09/2023]',0.10,0.06,0.58,0.67,0.19,0.14,0.00,0.42,0.20,0.18,1.02,2.19,0.35,0.33,0.00,1.35,0.37,0.19,1.65,3.32,0.50,0.44,0.00,2.39,0.70,0.45,5.61,9.48,1.58,1.21,0.00,6.84,0.74,0.56,30.78,25.17,9.86,5.47,0.00,17.35,0
'[11:32:31.884 11/09/2023]',0.10,0.06,0.56,0.70,0.18,0.13,0.00,0.44,0.20,0.19,0.98,2.11,0.34,0.32,0.00,1.31,0.35,0.19,1.60,3.30,0.50,0.43,0.00,2.39,0.69,0.46,5.47,9.22,1.57,1.21,0.00,6.64,0.69,0.53,28.62,23.39,9.17,5.09,0.00,16.13,0
'[11:32:31.913 11/09/2023]',0.09,0.06,0.52,0.68,0.17,0.12,0.00,0.42,0.19,0.19,0.93,2.05,0.32,0.32,0.00,1.26,0.34,0.19,1.53,3.26,0.50,0.41,0.00,2.38,0.68,0.46,5.32,8.93,1.56,1.21,0.00,6.43,0.65,0.49,26.61,21.73,8.53,4.73,0.00,15.00,0
'[11:32:31.945 11/09/2023]',0.09,0.06,0.50,0.66,0.16,0.12,0.00,0.42,0.18,0.19,0.89,1.94,0.30,0.31,0.00,1.19,0.33,0.19,1.48,3.20,0.49,0.39,0.00,2.35,0.67,0.46,5.17,8.73,1.54,1.19,0.00,6.31,0.60,0.50,24.72,20.18,7.92,4.40,0.00,13.95,0
'[11:32:31.978 11/09/2023]',0.08,0.06,0.47,0.63,0.15,0.11,0.00,0.40,0.17,0.19,0.84,1.87,0.29,0.30,0.00,1.14,0.33,0.19,1.42,3.13,0.49,0.37,0.00,2.33,0.66,0.47,5.01,8.54,1.50,1.17,0.00,6.20,0.57,0.50,22.96,18.74,7.35,4.09,0.00,12.97,0
'[11:32:32.008 11/09/2023]',0.08,0.06,0.45,0.63,0.14,0.11,0.00,0.39,0.17,0.19,0.79,1.84,0.29,0.30,0.00,1.12,0.32,0.19,1.34,3.02,0.48,0.36,0.00,2.26,0.66,0.47,4.85,8.30,1.48,1.16,0.00,6.05,0.53,0.50,21.32,17.42,6.83,3.80,0.00,12.07,0
'[11:32:32.038 11/09/2023]',0.07,0.06,0.44,0.62,0.15,0.12,0.00,0.41,0.16,0.19,0.77,1.74,0.28,0.30,0.00,1.07,0.32,0.19,1.28,2.98,0.48,0.36,0.00,2.23,0.66,0.48,4.66,8.05,1.44,1.17,0.00,5.88,0.49,0.50,19.76,16.18,6.32,3.52,0.00,11.25,0
'[11:32:32.074 11/09/2023]',0.07,0.06,0.44,0.64,0.15,0.12,0.00,0.42,0.16,0.20,0.75,1.71,0.27,0.28,0.00,1.05,0.32,0.19,1.26,3.00,0.49,0.37,0.00,2.26,0.67,0.48,4.50,7.79,1.40,1.17,0.00,5.69,0.45,0.51,18.33,15.03,5.86,3.27,0.00,10.46,0
'[11:32:32.105 11/09/2023]',0.07,0.05,0.41,0.62,0.14,0.12,0.00,0.42,0.15,0.20,0.70,1.69,0.25,0.28,0.00,1.05,0.32,0.19,1.20,2.96,0.48,0.36,0.00,2.24,0.68,0.49,4.30,7.63,1.36,1.19,0.00,5.64,0.43,0.51,16.99,13.97,5.43,3.04,0.00,9.75,0
'[11:32:32.136 11/09/2023]',0.07,0.06,0.39,0.63,0.14,0.11,0.00,0.42,0.15,0.20,0.66,1.62,0.25,0.27,0.00,1.02,0.32,0.19,1.16,2.87,0.47,0.37,0.00,2.18,0.69,0.49,4.10,7.49,1.33,1.22,0.00,5.88,0.40,0.52,15.75,13.00,5.04,2.82,0.00,9.09,0
'[11:32:32.180 11/09/2023]',0.07,0.05,0.38,0.63,0.13,0.11,0.00,0.42,0.14,0.19,0.64,1.54,0.24,0.25,0.00,0.96,0.32,0.18,1.10,2.78,0.46,0.38,0.00,2.10,0.71,0.48,4.06,7.60,1.36,1.24,0.00,6.12,0.37,0.53,14.62,12.08,4.67,2.62,0.00,8.46,0
'[11:32:32.260 11/09/2023]',0.07,0.05,0.37,0.59,0.12,0.11,0.00,0.40,0.13,0.18,0.63,1.53,0.23,0.25,0.00,0.94,0.33,0.17,1.05,2.74,0.46,0.38,0.00,2.03,0.72,0.47,4.10,7.84,1.42,1.25,0.00,6.29,0.36,0.54,13.55,11.21,4.33,2.44,0.00,7.87,0
'[11:32:32.344 11/09/2023]',0.07,0.05,0.35,0.57,0.12,0.11,0.00,0.38,0.13,0.18,0.61,1.48,0.22,0.25,0.00,0.91,0.33,0.16,1.02,2.67,0.45,0.38,0.00,1.97,0.73,0.47,4.09,8.00,1.47,1.27,0.00,6.43,0.36,0.54,12.57,10.42,4.01,2.27,0.00,7.33,0
'[11:32:32.429 11/09/2023]',0.06,0.05,0.34,0.57,0.12,0.10,0.00,0.38,0.13,0.17,0.59,1.41,0.21,0.24,0.00,0.85,0.32,0.16,0.99,2.61,0.43,0.37,0.00,1.93,0.74,0.47,4.06,8.09,1.50,1.29,0.00,6.53,0.35,0.54,11.66,9.67,3.72,2.11,0.00,6.80,0
'[11:32:32.495 11/09/2023]',0.06,0.05,0.33,0.55,0.12,0.10,0.00,0.37,0.12,0.17,0.58,1.40,0.21,0.24,0.00,0.82,0.32,0.17,0.93,2.50,0.43,0.38,0.00,1.87,0.74,0.46,3.99,8.10,1.52,1.29,0.00,6.56,0.35,0.53,10.80,9.00,3.45,1.97,0.00,6.34,0
'[11:32:32.577 11/09/2023]',0.06,0.04,0.31,0.55,0.11,0.10,0.00,0.36,0.12,0.16,0.57,1.41,0.21,0.23,0.00,0.81,0.31,0.18,0.88,2.37,0.42,0.39,0.00,1.80,0.75,0.45,3.93,8.13,1.54,1.30,0.00,6.59,0.34,0.53,10.03,8.39,3.21,1.85,0.00,5.92,0
'[11:32:32.648 11/09/2023]',0.06,0.04,0.30,0.53,0.10,0.10,0.00,0.34,0.12,0.15,0.56,1.39,0.20,0.22,0.00,0.78,0.30,0.18,0.84,2.28,0.41,0.40,0.00,1.73,0.75,0.44,3.86,8.14,1.57,1.30,0.00,6.58,0.34,0.53,9.32,7.81,2.99,1.73,0.00,5.53,0
'[11:32:32.747 11/09/2023]',0.06,0.04,0.29,0.50,0.10,0.10,0.00,0.34,0.11,0.15,0.56,1.36,0.19,0.22,0.00,0.77,0.30,0.18,0.80,2.19,0.41,0.40,0.00,1.65,0.76,0.43,3.80,8.16,1.60,1.28,0.00,6.57,0.34,0.53,8.68,7.28,2.79,1.62,0.00,5.17,0
'[11:32:32.849 11/09/2023]',0.07,0.04,0.27,0.48,0.10,0.10,0.00,0.33,0.12,0.15,0.54,1.34,0.19,0.21,0.00,0.75,0.31,0.19,0.76,2.15,0.41,0.40,0.00,1.61,0.76,0.44,3.72,8.10,1.61,1.27,0.00,6.48,0.33,0.52,8.07,6.79,2.61,1.52,0.00,4.84,0
'[11:32:32.937 11/09/2023]',0.07,0.04,0.27,0.49,0.10,0.10,0.00,0.33,0.12,0.15,0.51,1.30,0.18,0.21,0.00,0.72,0.32,0.20,0.76,2.10,0.40,0.41,0.00,1.55,0.74,0.46,3.60,7.97,1.61,1.27,0.00,6.35,0.33,0.51,7.51,6.34,2.44,1.43,0.00,4.53,0
'[11:32:33.003 11/09/2023]',0.07,0.04,0.29,0.54,0.10,0.10,0.00,0.35,0.13,0.15,0.49,1.26,0.20,0.21,0.00,0.70,0.34,0.21,0.72,2.03,0.38,0.41,0.00,1.44,0.73,0.48,3.45,7.80,1.61,1.26,0.00,6.20,0.35,0.49,6.99,5.91,2.27,1.35,0.00,4.24,0
'[11:32:33.070 11/09/2023]',0.08,0.04,0.29,0.58,0.10,0.11,0.00,0.36,0.13,0.16,0.47,1.24,0.21,0.20,0.00,0.69,0.36,0.22,0.72,1.99,0.36,0.41,0.00,1.36,0.73,0.49,3.28,7.59,1.61,1.24,0.00,6.02,0.36,0.50,6.49,5.55,2.13,1.27,0.00,3.99,0
'[11:32:33.125 11/09/2023]',0.08,0.04,0.29,0.59,0.10,0.10,0.00,0.38,0.14,0.16,0.47,1.33,0.22,0.19,0.00,0.75,0.37,0.23,0.68,1.96,0.35,0.41,0.00,1.33,0.72,0.50,3.15,7.33,1.60,1.22,0.00,5.84,0.38,0.52,6.03,5.20,1.99,1.20,0.00,3.75,0
'[11:32:33.182 11/09/2023]',0.08,0.04,0.28,0.62,0.10,0.10,0.00,0.39,0.14,0.16,0.49,1.39,0.23,0.19,0.00,0.78,0.39,0.24,0.66,2.04,0.34,0.39,0.00,1.33,0.71,0.51,3.13,7.07,1.59,1.19,0.00,5.62,0.39,0.54,5.62,4.90,1.87,1.13,0.00,3.54,0
'[11:32:33.228 11/09/2023]',0.08,0.04,0.29,0.70,0.10,0.10,0.00,0.44,0.15,0.16,0.47,1.30,0.23,0.19,0.00,0.75,0.40,0.25,0.68,2.21,0.34,0.38,0.00,1.40,0.69,0.52,3.12,6.93,1.59,1.17,0.00,5.49,0.40,0.56,5.23,4.61,1.76,1.07,0.00,3.34,0
'[11:32:33.258 11/09/2023]',0.08,0.04,0.28,0.66,0.10,0.09,0.00,0.41,0.15,0.17,0.47,1.32,0.24,0.18,0.00,0.75,0.41,0.26,0.70,2.27,0.34,0.36,0.00,1.40,0.68,0.53,3.12,6.80,1.57,1.15,0.00,5.38,0.42,0.59,4.87,4.34,1.65,1.02,0.00,3.15,0
