'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'[11:15:26.787 26/09/2023]',0.08,10.27,0.11,0.10,0.10,0.07,0.10,2.47,0.16,11.17,0.17,0.20,0.18,0.18,0.17,6.10,0.25,6.33,0.32,0.24,0.30,0.21,0.31,4.78,0.80,8.74,0.73,0.71,0.58,0.58,2.26,6.23,0.77,4.70,0.89,0.81,0.95,1.13,1.47,4.21,0
'[11:15:26.862 26/09/2023]',0.09,10.36,0.11,0.10,0.10,0.07,0.11,2.53,0.16,11.40,0.17,0.20,0.18,0.18,0.17,6.14,0.24,6.36,0.32,0.24,0.30,0.21,0.29,4.77,0.78,8.46,0.73,0.70,0.57,0.56,2.25,6.24,0.78,4.71,0.91,0.80,0.94,1.12,1.48,4.14,0
'[11:15:26.947 26/09/2023]',0.09,10.45,0.11,0.10,0.10,0.08,0.11,2.58,0.17,11.61,0.17,0.21,0.17,0.18,0.17,6.15,0.23,6.42,0.32,0.23,0.29,0.20,0.27,4.80,0.76,8.20,0.76,0.74,0.58,0.56,2.21,6.25,0.79,4.74,0.91,0.80,0.95,1.11,1.48,4.10,0
'[11:15:27.020 26/09/2023]',0.08,10.53,0.11,0.10,0.09,0.07,0.10,2.64,0.18,11.86,0.17,0.21,0.18,0.19,0.17,6.20,0.23,6.41,0.31,0.22,0.28,0.19,0.27,4.78,0.78,7.92,0.79,0.77,0.61,0.57,2.17,6.19,0.80,4.84,0.91,0.81,0.95,1.10,1.48,4.12,0
'[11:15:27.099 26/09/2023]',0.08,10.66,0.11,0.10,0.09,0.07,0.10,2.67,0.18,12.01,0.16,0.21,0.18,0.20,0.17,6.17,0.23,6.45,0.30,0.22,0.28,0.19,0.26,4.83,0.77,7.67,0.80,0.80,0.63,0.56,2.11,6.04,0.80,4.86,0.92,0.81,0.95,1.10,1.49,4.09,0
'[11:15:27.172 26/09/2023]',0.08,10.70,0.11,0.09,0.08,0.07,0.10,2.72,0.18,12.20,0.16,0.20,0.18,0.20,0.17,6.17,0.23,6.56,0.29,0.21,0.28,0.19,0.24,4.91,0.77,7.67,0.82,0.82,0.64,0.56,2.02,5.92,0.80,4.99,0.92,0.82,0.95,1.11,1.57,4.06,0
'[11:15:27.243 26/09/2023]',0.08,10.68,0.11,0.10,0.08,0.07,0.10,2.82,0.18,12.34,0.15,0.20,0.18,0.20,0.17,6.13,0.23,6.67,0.29,0.20,0.27,0.19,0.24,4.97,0.78,7.76,0.84,0.83,0.65,0.55,1.94,5.79,0.79,5.14,0.91,0.83,0.94,1.11,1.64,4.05,0
'[11:15:27.317 26/09/2023]',0.08,10.64,0.11,0.10,0.08,0.07,0.09,2.86,0.19,12.47,0.15,0.19,0.17,0.20,0.17,6.05,0.24,6.78,0.28,0.21,0.27,0.18,0.23,5.08,0.78,7.79,0.86,0.84,0.66,0.55,1.86,5.69,0.78,5.34,0.90,0.82,0.93,1.08,1.71,4.23,0
'[11:15:27.380 26/09/2023]',0.10,10.60,0.11,0.09,0.08,0.07,0.10,2.87,0.18,12.66,0.15,0.18,0.17,0.20,0.17,5.91,0.24,6.92,0.27,0.22,0.26,0.18,0.23,5.20,0.78,7.81,0.87,0.84,0.67,0.54,1.96,5.58,0.77,5.52,0.88,0.81,0.91,1.07,1.76,4.38,0
'[11:15:27.457 26/09/2023]',0.10,10.51,0.11,0.10,0.08,0.07,0.10,2.88,0.20,12.83,0.14,0.18,0.17,0.19,0.17,6.07,0.25,6.98,0.26,0.22,0.26,0.18,0.24,5.23,0.78,7.76,0.88,0.84,0.67,0.55,2.04,5.43,0.79,5.71,0.87,0.80,0.88,1.04,1.81,4.55,0
'[11:15:27.505 26/09/2023]',0.11,10.32,0.11,0.11,0.08,0.07,0.10,2.88,0.20,12.92,0.13,0.18,0.17,0.19,0.17,6.19,0.25,7.10,0.25,0.23,0.25,0.18,0.25,5.27,0.80,7.76,0.89,0.84,0.67,0.55,2.10,5.36,0.80,5.88,0.85,0.79,0.86,1.02,1.87,4.71,0
'[11:15:27.531 26/09/2023]',0.12,9.96,0.12,0.11,0.08,0.08,0.10,2.91,0.20,12.78,0.13,0.19,0.16,0.19,0.17,6.28,0.26,7.37,0.25,0.25,0.25,0.19,0.26,5.32,0.82,7.78,0.89,0.82,0.67,0.55,2.16,5.26,0.81,6.03,0.83,0.78,0.83,1.00,1.93,4.83,0
'[11:15:27.553 26/09/2023]',0.14,9.66,0.12,0.12,0.08,0.09,0.11,3.01,0.20,12.48,0.13,0.18,0.16,0.19,0.18,6.33,0.28,7.53,0.27,0.27,0.25,0.18,0.26,5.37,0.84,7.67,0.91,0.81,0.67,0.54,2.19,5.19,0.81,6.16,0.80,0.77,0.80,0.98,2.00,4.97,0
'[11:15:27.582 26/09/2023]',0.15,9.24,0.12,0.12,0.09,0.09,0.11,3.07,0.19,12.13,0.13,0.18,0.16,0.18,0.17,6.31,0.29,7.77,0.29,0.29,0.24,0.18,0.27,5.41,0.86,7.61,0.92,0.80,0.66,0.55,2.22,5.12,0.81,6.23,0.77,0.75,0.77,0.95,2.08,5.06,0
'[11:15:27.617 26/09/2023]',0.16,8.63,0.12,0.13,0.09,0.09,0.10,3.10,0.19,11.49,0.12,0.17,0.15,0.18,0.16,6.12,0.32,7.82,0.31,0.31,0.24,0.20,0.28,5.24,0.86,7.68,0.93,0.78,0.66,0.54,2.24,5.20,0.83,6.32,0.77,0.76,0.74,0.91,2.12,5.17,0
'[11:15:27.640 26/09/2023]',0.16,8.34,0.12,0.14,0.09,0.10,0.10,3.16,0.20,10.77,0.12,0.17,0.15,0.17,0.16,5.96,0.33,7.60,0.34,0.33,0.26,0.21,0.30,5.04,0.86,7.48,0.94,0.78,0.68,0.53,2.26,5.19,0.85,6.29,0.75,0.78,0.71,0.87,2.14,5.19,0
'[11:15:27.669 26/09/2023]',0.17,7.98,0.11,0.13,0.09,0.09,0.10,3.12,0.21,10.03,0.12,0.17,0.15,0.17,0.15,5.73,0.36,7.38,0.37,0.35,0.28,0.22,0.32,4.87,0.86,7.20,0.95,0.76,0.69,0.54,2.28,5.15,0.87,6.32,0.73,0.79,0.69,0.83,2.16,5.29,0
'[11:15:27.701 26/09/2023]',0.17,7.66,0.11,0.13,0.08,0.09,0.10,3.07,0.21,9.39,0.12,0.16,0.15,0.16,0.15,5.55,0.38,7.23,0.39,0.37,0.30,0.24,0.32,4.70,0.84,6.93,0.96,0.76,0.70,0.57,2.28,5.16,0.89,6.34,0.71,0.79,0.68,0.81,2.17,5.37,0
'[11:15:27.729 26/09/2023]',0.18,7.44,0.11,0.13,0.08,0.09,0.10,3.04,0.22,8.80,0.13,0.16,0.15,0.16,0.14,5.36,0.39,7.13,0.41,0.39,0.32,0.25,0.32,4.57,0.83,6.63,0.96,0.76,0.71,0.60,2.29,5.18,0.91,6.36,0.68,0.80,0.69,0.82,2.18,5.44,0
'[11:15:27.755 26/09/2023]',0.18,7.27,0.11,0.14,0.08,0.09,0.12,3.02,0.23,8.31,0.13,0.17,0.15,0.16,0.15,5.13,0.41,7.03,0.43,0.41,0.33,0.26,0.33,4.43,0.83,6.42,0.96,0.78,0.72,0.63,2.27,5.19,0.92,6.43,0.66,0.80,0.70,0.83,2.18,5.54,0
'[11:15:27.781 26/09/2023]',0.18,7.14,0.11,0.14,0.09,0.10,0.12,2.94,0.23,8.11,0.13,0.17,0.16,0.16,0.15,5.04,0.42,7.47,0.45,0.42,0.35,0.28,0.33,4.53,0.83,7.04,0.96,0.81,0.72,0.64,2.25,5.63,0.92,6.31,0.65,0.79,0.69,0.85,2.15,5.29,0
'[11:15:27.804 26/09/2023]',0.18,6.98,0.11,0.14,0.09,0.10,0.11,2.96,0.24,7.78,0.14,0.18,0.16,0.15,0.15,4.97,0.43,7.88,0.46,0.43,0.36,0.29,0.34,4.64,0.82,7.78,0.95,0.83,0.71,0.65,2.22,5.96,0.92,6.12,0.66,0.79,0.68,0.86,2.13,5.09,0
'[11:15:27.836 26/09/2023]',0.19,6.86,0.11,0.14,0.09,0.10,0.11,3.02,0.25,7.43,0.14,0.18,0.16,0.15,0.15,4.91,0.43,8.33,0.47,0.43,0.36,0.29,0.34,4.77,0.82,8.48,0.94,0.85,0.69,0.66,2.20,6.26,0.91,6.11,0.66,0.78,0.67,0.87,2.10,4.95,0
'[11:15:27.869 26/09/2023]',0.19,6.73,0.10,0.15,0.09,0.10,0.11,3.15,0.26,7.10,0.14,0.18,0.15,0.14,0.15,4.80,0.44,8.74,0.48,0.44,0.37,0.29,0.36,4.90,0.82,9.12,0.93,0.86,0.66,0.66,2.18,6.57,0.91,6.75,0.66,0.79,0.65,0.87,2.10,5.01,0
'[11:15:27.894 26/09/2023]',0.19,6.64,0.10,0.15,0.09,0.11,0.11,3.23,0.27,6.92,0.13,0.18,0.15,0.14,0.15,4.68,0.44,9.08,0.49,0.44,0.37,0.29,0.38,5.11,0.83,9.74,0.92,0.88,0.65,0.66,2.16,6.81,0.90,7.38,0.65,0.82,0.63,0.87,2.11,5.35,0
'[11:15:27.926 26/09/2023]',0.19,6.53,0.10,0.14,0.09,0.10,0.12,3.30,0.28,6.87,0.13,0.18,0.15,0.13,0.15,4.58,0.44,9.40,0.49,0.44,0.37,0.29,0.39,5.32,0.84,10.31,0.91,0.90,0.63,0.65,2.16,6.97,0.90,8.01,0.65,0.83,0.63,0.87,2.13,5.60,0
'[11:15:27.953 26/09/2023]',0.19,6.50,0.10,0.15,0.09,0.10,0.11,3.38,0.27,6.75,0.15,0.18,0.15,0.13,0.15,4.48,0.43,9.77,0.48,0.44,0.38,0.30,0.38,5.50,0.84,10.90,0.89,0.92,0.63,0.65,2.16,7.13,0.89,8.62,0.62,0.84,0.66,0.88,2.14,5.82,0
'[11:15:27.987 26/09/2023]',0.19,6.50,0.10,0.14,0.08,0.10,0.11,3.43,0.28,6.64,0.15,0.18,0.15,0.13,0.15,4.37,0.41,10.14,0.46,0.43,0.37,0.29,0.37,5.65,0.83,11.43,0.86,0.93,0.65,0.65,2.15,7.32,0.88,9.25,0.59,0.84,0.68,0.89,2.15,6.11,0
'[11:15:28.010 26/09/2023]',0.19,6.50,0.09,0.14,0.09,0.09,0.11,3.50,0.29,6.57,0.16,0.18,0.14,0.13,0.14,4.28,0.40,10.45,0.45,0.41,0.36,0.28,0.37,5.76,0.81,11.96,0.83,0.92,0.66,0.66,2.12,7.53,0.86,9.84,0.58,0.83,0.69,0.88,2.13,6.44,0
'[11:15:28.039 26/09/2023]',0.18,6.53,0.09,0.13,0.08,0.09,0.11,3.52,0.30,6.55,0.17,0.19,0.14,0.13,0.15,4.23,0.39,10.64,0.44,0.40,0.35,0.28,0.36,5.86,0.78,12.54,0.79,0.91,0.66,0.66,2.04,7.71,0.85,10.42,0.60,0.81,0.70,0.88,2.07,6.77,0
'[11:15:28.064 26/09/2023]',0.19,6.59,0.09,0.13,0.08,0.09,0.11,3.56,0.31,6.57,0.18,0.20,0.15,0.13,0.15,4.19,0.37,10.84,0.43,0.38,0.35,0.27,0.37,5.97,0.76,13.03,0.75,0.88,0.67,0.66,1.95,7.86,0.83,10.93,0.61,0.81,0.70,0.87,2.00,7.02,0
'[11:15:28.095 26/09/2023]',0.19,6.57,0.09,0.13,0.08,0.08,0.11,3.54,0.32,6.61,0.18,0.20,0.15,0.14,0.17,4.20,0.37,10.96,0.42,0.38,0.33,0.26,0.39,6.02,0.73,13.41,0.74,0.85,0.68,0.66,1.89,7.99,0.82,11.40,0.62,0.79,0.71,0.86,1.93,7.26,0
'[11:15:28.119 26/09/2023]',0.19,6.48,0.09,0.12,0.08,0.09,0.11,3.51,0.32,6.74,0.19,0.21,0.16,0.15,0.16,4.21,0.37,11.06,0.41,0.37,0.32,0.26,0.39,6.07,0.71,13.77,0.73,0.82,0.67,0.65,1.85,8.07,0.80,11.90,0.62,0.78,0.72,0.85,1.84,7.51,0
'[11:15:28.147 26/09/2023]',0.19,6.40,0.08,0.12,0.08,0.08,0.11,3.46,0.33,6.77,0.19,0.21,0.17,0.15,0.16,4.17,0.38,11.11,0.41,0.37,0.31,0.26,0.39,6.02,0.67,13.96,0.72,0.78,0.67,0.65,1.81,8.04,0.83,12.26,0.62,0.76,0.72,0.88,1.78,7.66,0
'[11:15:28.179 26/09/2023]',0.19,6.30,0.08,0.12,0.07,0.08,0.11,3.41,0.34,6.74,0.20,0.22,0.17,0.16,0.16,4.12,0.38,11.12,0.42,0.37,0.30,0.27,0.39,5.95,0.69,14.12,0.73,0.74,0.67,0.65,1.78,8.03,0.86,12.56,0.62,0.77,0.72,0.90,1.72,7.80,0
'[11:15:28.211 26/09/2023]',0.19,6.19,0.08,0.11,0.07,0.08,0.10,3.33,0.35,6.71,0.21,0.23,0.18,0.16,0.16,4.08,0.38,11.12,0.43,0.36,0.30,0.27,0.40,5.92,0.72,14.31,0.76,0.71,0.66,0.64,1.76,8.02,0.88,12.91,0.61,0.77,0.72,0.91,1.67,8.01,0
'[11:15:28.242 26/09/2023]',0.19,6.07,0.07,0.11,0.07,0.07,0.10,3.25,0.35,6.71,0.22,0.23,0.18,0.16,0.17,4.05,0.38,11.14,0.43,0.36,0.29,0.27,0.39,5.88,0.75,14.56,0.78,0.69,0.66,0.63,1.71,8.09,0.91,13.12,0.60,0.78,0.72,0.91,1.77,8.12,0
'[11:15:28.289 26/09/2023]',0.19,5.91,0.08,0.11,0.06,0.07,0.11,3.05,0.36,6.62,0.23,0.24,0.19,0.16,0.17,3.90,0.39,11.09,0.43,0.36,0.28,0.27,0.40,5.77,0.76,14.74,0.79,0.67,0.65,0.64,1.65,8.21,0.93,13.26,0.59,0.79,0.72,0.90,1.87,8.19,0
'[11:15:28.319 26/09/2023]',0.18,5.83,0.08,0.11,0.07,0.07,0.10,2.95,0.35,6.60,0.23,0.25,0.19,0.16,0.17,3.80,0.40,10.99,0.43,0.36,0.27,0.27,0.40,5.69,0.77,14.82,0.80,0.65,0.65,0.65,1.63,8.29,0.94,13.35,0.62,0.79,0.71,0.88,1.95,8.20,0
'[11:15:28.343 26/09/2023]',0.17,5.71,0.08,0.11,0.06,0.07,0.10,2.83,0.34,6.61,0.22,0.24,0.18,0.16,0.17,3.70,0.40,10.90,0.44,0.37,0.27,0.26,0.40,5.67,0.79,14.87,0.81,0.64,0.65,0.66,1.62,8.32,0.95,13.45,0.66,0.79,0.71,0.87,2.02,8.29,0
'[11:15:28.372 26/09/2023]',0.17,5.54,0.08,0.10,0.06,0.06,0.10,2.73,0.33,6.68,0.22,0.24,0.18,0.16,0.16,3.65,0.40,10.72,0.44,0.37,0.27,0.26,0.39,5.58,0.79,15.00,0.83,0.67,0.66,0.66,1.60,8.51,0.95,13.41,0.68,0.79,0.70,0.90,2.09,8.28,0
'[11:15:28.400 26/09/2023]',0.16,5.38,0.08,0.10,0.06,0.06,0.10,2.60,0.31,6.71,0.21,0.23,0.18,0.16,0.17,3.62,0.40,10.61,0.43,0.38,0.27,0.25,0.38,5.48,0.80,15.27,0.85,0.71,0.67,0.66,1.60,8.70,0.95,13.33,0.70,0.79,0.69,0.94,2.11,8.25,0
'[11:15:28.428 26/09/2023]',0.15,5.34,0.08,0.10,0.07,0.06,0.09,2.44,0.30,6.49,0.21,0.23,0.17,0.15,0.17,3.65,0.39,10.73,0.43,0.37,0.26,0.24,0.37,5.45,0.81,15.40,0.86,0.73,0.69,0.66,1.63,8.91,0.94,13.27,0.72,0.78,0.68,0.98,2.12,8.20,0
'[11:15:28.477 26/09/2023]',0.14,5.22,0.08,0.10,0.07,0.06,0.09,2.30,0.29,6.46,0.24,0.22,0.16,0.15,0.17,3.66,0.39,10.94,0.42,0.37,0.27,0.24,0.37,5.41,0.82,15.61,0.87,0.75,0.70,0.67,1.64,9.11,0.91,13.14,0.74,0.76,0.67,1.01,2.12,8.12,0
'[11:15:28.554 26/09/2023]',0.14,5.03,0.08,0.09,0.06,0.06,0.09,2.20,0.28,6.64,0.25,0.22,0.15,0.14,0.17,3.68,0.38,11.17,0.42,0.37,0.27,0.23,0.39,5.38,0.82,15.86,0.87,0.77,0.71,0.67,1.62,9.30,0.88,12.99,0.77,0.74,0.64,1.05,2.10,7.99,0
'[11:15:28.631 26/09/2023]',0.13,4.78,0.07,0.09,0.06,0.06,0.09,2.10,0.27,6.76,0.27,0.21,0.15,0.14,0.17,3.70,0.37,11.37,0.41,0.37,0.27,0.22,0.40,5.34,0.81,16.03,0.88,0.79,0.72,0.67,1.58,9.47,0.85,12.88,0.78,0.70,0.61,1.08,2.09,7.89,0
'[11:15:28.724 26/09/2023]',0.12,4.54,0.07,0.09,0.06,0.06,0.10,2.00,0.26,6.86,0.28,0.21,0.15,0.14,0.17,3.72,0.37,11.53,0.41,0.37,0.27,0.22,0.39,5.31,0.80,16.20,0.89,0.81,0.73,0.66,1.59,9.66,0.83,12.74,0.81,0.68,0.58,1.09,2.09,7.79,0
'[11:15:28.800 26/09/2023]',0.12,4.35,0.07,0.09,0.06,0.06,0.10,1.98,0.27,7.00,0.30,0.20,0.16,0.15,0.16,3.80,0.37,11.73,0.41,0.37,0.27,0.21,0.40,5.31,0.78,16.39,0.90,0.82,0.73,0.66,1.57,9.76,0.82,12.65,0.81,0.65,0.57,1.09,2.09,7.71,0
'[11:15:28.867 26/09/2023]',0.12,4.19,0.07,0.09,0.07,0.06,0.11,1.88,0.28,6.88,0.32,0.20,0.17,0.15,0.16,3.91,0.35,11.98,0.40,0.37,0.27,0.20,0.38,5.16,0.79,16.17,0.88,0.83,0.74,0.66,1.54,9.63,0.82,12.10,0.83,0.62,0.57,1.10,2.14,7.46,0
'[11:15:28.942 26/09/2023]',0.11,4.21,0.07,0.09,0.07,0.06,0.10,1.85,0.28,6.76,0.33,0.20,0.18,0.15,0.17,3.88,0.34,11.84,0.39,0.35,0.27,0.20,0.38,4.92,0.79,15.54,0.87,0.85,0.74,0.66,1.52,9.38,0.82,11.43,0.84,0.62,0.57,1.09,2.21,7.24,0
'[11:15:29.012 26/09/2023]',0.11,4.13,0.07,0.09,0.07,0.05,0.10,1.77,0.28,6.72,0.34,0.21,0.18,0.15,0.17,3.83,0.34,11.61,0.39,0.34,0.27,0.20,0.38,4.68,0.80,14.86,0.89,0.86,0.75,0.66,1.53,9.08,0.80,10.76,0.86,0.60,0.58,1.08,2.24,6.99,0
'[11:15:29.086 26/09/2023]',0.11,4.06,0.08,0.09,0.07,0.05,0.11,1.68,0.28,6.70,0.34,0.21,0.18,0.15,0.17,3.82,0.33,11.38,0.38,0.34,0.27,0.20,0.38,4.53,0.85,14.28,0.92,0.86,0.77,0.68,1.51,8.80,0.79,10.09,0.89,0.61,0.59,1.06,2.25,6.71,0
'[11:15:29.156 26/09/2023]',0.11,4.05,0.08,0.10,0.07,0.06,0.11,1.63,0.28,6.74,0.35,0.22,0.18,0.14,0.17,3.86,0.33,11.09,0.38,0.34,0.26,0.20,0.37,4.34,0.90,13.83,0.93,0.86,0.79,0.70,1.48,8.73,0.81,9.45,0.90,0.61,0.62,1.04,2.23,6.45,0
'[11:15:29.229 26/09/2023]',0.11,4.08,0.08,0.10,0.07,0.06,0.11,1.63,0.27,6.86,0.35,0.22,0.18,0.14,0.18,3.90,0.32,10.88,0.38,0.33,0.25,0.21,0.37,4.16,0.95,13.33,0.94,0.88,0.81,0.73,1.45,8.70,0.82,8.76,0.91,0.61,0.63,1.03,2.19,6.16,0
'[11:15:29.303 26/09/2023]',0.12,4.25,0.09,0.10,0.08,0.06,0.12,1.64,0.27,6.94,0.36,0.22,0.18,0.14,0.19,4.05,0.31,10.82,0.37,0.33,0.25,0.20,0.36,4.05,1.01,12.95,0.93,0.90,0.82,0.76,1.45,8.69,0.83,8.18,0.90,0.62,0.64,1.03,2.13,5.83,0
'[11:15:29.377 26/09/2023]',0.11,4.38,0.09,0.11,0.08,0.07,0.12,1.68,0.27,7.26,0.35,0.23,0.18,0.13,0.21,4.21,0.30,10.77,0.36,0.32,0.25,0.20,0.34,3.97,1.07,12.66,0.95,0.94,0.81,0.79,1.44,8.73,0.86,7.60,0.89,0.63,0.64,1.03,2.09,5.55,0
'[11:15:29.446 26/09/2023]',0.11,4.51,0.09,0.10,0.08,0.07,0.12,1.70,0.27,7.58,0.36,0.23,0.17,0.13,0.22,4.33,0.30,10.71,0.35,0.31,0.25,0.21,0.33,4.05,1.11,12.30,0.96,0.98,0.82,0.83,1.46,8.71,0.88,7.26,0.87,0.65,0.64,1.04,2.08,5.44,0
'[11:15:29.490 26/09/2023]',0.11,4.59,0.09,0.10,0.08,0.07,0.13,1.74,0.26,7.85,0.35,0.24,0.17,0.12,0.22,4.46,0.29,10.60,0.35,0.30,0.26,0.21,0.33,4.09,1.14,11.98,0.98,1.03,0.82,0.89,1.53,8.70,0.90,6.91,0.84,0.65,0.63,1.04,2.12,5.31,0
'[11:15:29.535 26/09/2023]',0.10,4.64,0.08,0.10,0.07,0.07,0.12,1.83,0.26,8.02,0.35,0.24,0.17,0.12,0.22,4.53,0.29,10.49,0.34,0.29,0.26,0.21,0.33,4.18,1.16,11.62,1.00,1.08,0.84,0.94,1.59,8.61,0.91,6.55,0.80,0.65,0.62,1.05,2.24,5.19,0
'[11:15:29.548 26/09/2023]',0.10,4.70,0.08,0.10,0.07,0.07,0.12,1.91,0.26,8.19,0.35,0.25,0.17,0.11,0.23,4.61,0.29,10.43,0.33,0.28,0.26,0.21,0.31,4.23,1.17,11.23,1.02,1.12,0.85,0.98,1.62,8.45,0.91,6.21,0.77,0.66,0.61,1.05,2.32,5.04,0
'[11:15:29.575 26/09/2023]',0.10,4.70,0.08,0.10,0.07,0.07,0.13,1.95,0.26,8.27,0.35,0.25,0.17,0.11,0.24,4.65,0.28,10.40,0.33,0.28,0.26,0.21,0.31,4.29,1.18,11.11,1.03,1.14,0.86,1.03,1.60,8.29,0.90,6.03,0.74,0.65,0.59,1.05,2.40,4.92,0
'[11:15:29.606 26/09/2023]',0.10,4.75,0.09,0.10,0.07,0.08,0.13,1.97,0.26,8.32,0.35,0.25,0.17,0.11,0.25,4.73,0.27,10.36,0.32,0.27,0.25,0.21,0.29,4.38,1.18,11.02,1.05,1.15,0.85,1.07,1.58,8.17,0.90,5.90,0.69,0.65,0.56,1.04,2.48,4.79,0
'[11:15:29.638 26/09/2023]',0.09,4.73,0.08,0.11,0.07,0.08,0.12,2.04,0.25,8.44,0.33,0.26,0.17,0.12,0.25,4.82,0.27,10.26,0.31,0.27,0.23,0.21,0.28,4.54,1.19,10.99,1.07,1.15,0.84,1.10,1.59,8.00,0.89,5.84,0.65,0.66,0.54,1.03,2.55,4.63,0
'[11:15:29.668 26/09/2023]',0.09,4.68,0.08,0.10,0.07,0.08,0.12,2.13,0.24,8.51,0.32,0.25,0.17,0.12,0.24,4.93,0.28,10.23,0.31,0.27,0.23,0.21,0.28,4.63,1.19,10.93,1.09,1.15,0.82,1.13,1.65,7.80,0.88,5.89,0.61,0.67,0.55,1.03,2.61,4.48,0
'[11:15:29.698 26/09/2023]',0.08,4.77,0.08,0.10,0.07,0.07,0.12,2.12,0.23,8.72,0.31,0.24,0.17,0.11,0.24,4.95,0.28,10.04,0.31,0.26,0.22,0.21,0.26,4.81,1.18,10.86,1.10,1.15,0.81,1.15,1.69,7.59,0.87,5.92,0.64,0.69,0.58,1.02,2.67,4.34,0
'[11:15:29.727 26/09/2023]',0.08,4.84,0.07,0.10,0.06,0.07,0.12,2.13,0.22,8.89,0.30,0.24,0.17,0.11,0.24,5.00,0.27,9.88,0.30,0.26,0.22,0.21,0.26,4.95,1.16,10.84,1.12,1.14,0.81,1.17,1.72,7.57,0.84,5.94,0.68,0.71,0.61,1.01,2.73,4.21,0
'[11:15:29.753 26/09/2023]',0.08,4.92,0.07,0.10,0.06,0.07,0.12,2.08,0.21,9.14,0.29,0.23,0.16,0.11,0.24,4.99,0.28,9.78,0.30,0.26,0.23,0.21,0.26,5.01,1.14,10.86,1.12,1.13,0.81,1.19,1.76,7.55,0.83,5.90,0.71,0.72,0.64,1.00,2.77,4.04,0
'[11:15:29.783 26/09/2023]',0.08,5.01,0.07,0.10,0.06,0.07,0.12,2.06,0.21,9.36,0.28,0.23,0.17,0.11,0.24,4.97,0.27,9.71,0.30,0.26,0.23,0.21,0.26,5.11,1.10,10.91,1.13,1.12,0.82,1.22,1.81,7.58,0.85,5.82,0.74,0.73,0.66,0.98,2.81,3.90,0
'[11:15:29.809 26/09/2023]',0.08,5.23,0.08,0.10,0.06,0.07,0.12,2.03,0.20,9.44,0.27,0.22,0.17,0.11,0.24,4.98,0.27,9.81,0.29,0.25,0.24,0.22,0.27,5.22,1.06,10.86,1.12,1.13,0.83,1.22,1.85,7.65,0.86,5.70,0.75,0.74,0.68,0.95,2.86,3.79,0
'[11:15:29.834 26/09/2023]',0.08,5.46,0.08,0.10,0.06,0.08,0.12,2.03,0.20,9.55,0.26,0.22,0.18,0.11,0.24,4.93,0.26,10.01,0.29,0.25,0.24,0.23,0.27,5.23,1.03,10.68,1.13,1.12,0.83,1.22,1.92,7.59,0.88,5.68,0.76,0.76,0.68,0.93,2.88,3.66,0
'[11:15:29.871 26/09/2023]',0.08,5.47,0.08,0.11,0.06,0.08,0.12,2.04,0.20,9.45,0.26,0.22,0.18,0.12,0.23,4.81,0.26,10.24,0.31,0.24,0.26,0.24,0.27,5.26,1.01,10.53,1.12,1.12,0.83,1.22,1.98,7.48,0.90,5.74,0.78,0.78,0.68,0.91,2.89,3.71,0
'[11:15:29.906 26/09/2023]',0.08,5.43,0.08,0.10,0.06,0.07,0.12,1.98,0.18,9.19,0.25,0.21,0.18,0.12,0.22,4.76,0.27,10.21,0.31,0.24,0.27,0.26,0.25,5.20,0.99,10.31,1.09,1.11,0.84,1.22,2.02,7.32,0.91,5.79,0.82,0.79,0.70,0.92,2.91,3.77,0
'[11:15:29.937 26/09/2023]',0.07,5.32,0.08,0.10,0.06,0.07,0.11,1.96,0.18,8.78,0.24,0.20,0.18,0.13,0.21,4.72,0.29,10.12,0.31,0.24,0.28,0.27,0.24,5.13,0.98,10.06,1.05,1.09,0.84,1.20,2.03,7.12,0.92,5.75,0.86,0.79,0.73,0.92,2.89,3.87,0
'[11:15:29.965 26/09/2023]',0.07,5.24,0.08,0.09,0.06,0.07,0.11,1.88,0.17,8.38,0.23,0.20,0.18,0.13,0.20,4.64,0.29,9.98,0.31,0.25,0.30,0.29,0.23,5.01,0.97,9.75,1.02,1.07,0.84,1.19,2.06,6.87,0.93,5.76,0.90,0.78,0.75,0.91,2.84,3.96,0
'[11:15:29.992 26/09/2023]',0.07,5.15,0.08,0.09,0.05,0.07,0.10,1.84,0.16,8.04,0.22,0.19,0.18,0.13,0.19,4.53,0.30,9.86,0.32,0.26,0.31,0.31,0.22,4.92,0.96,9.43,1.01,1.06,0.83,1.19,2.09,6.61,0.94,5.75,0.93,0.77,0.77,0.89,2.77,4.00,0
'[11:15:30.023 26/09/2023]',0.07,5.07,0.08,0.09,0.05,0.07,0.10,1.78,0.16,7.70,0.21,0.18,0.18,0.13,0.19,4.43,0.31,9.70,0.33,0.26,0.33,0.32,0.21,4.81,0.95,9.17,1.00,1.05,0.83,1.18,2.11,6.31,0.95,5.81,0.96,0.76,0.78,0.89,2.70,3.98,0
